timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1499877305580538,5,11,8,8,4,-5,-44,-44
1499877305580538,-2,6,0,3,0,3,35,-39
1499877305581539,-22,2,-5,0,-1,5,57,-52
1499877305581539,2,1,-8,0,-1,-8,-39,9
1499877305582542,-20,0,2,1,4,5,0,-75
1499877305582542,-31,-10,-18,0,0,-5,-15,-70
1499877305585583,0,-10,12,-5,-2,-11,-50,66
1499877305585583,-7,-3,-5,-10,-10,-1,65,13
1499877305592579,-19,-10,-9,2,0,11,34,4
1499877305592579,-4,-1,-15,-10,-7,-7,9,-46
1499877305601545,-27,-1,2,-3,-1,-1,0,-35
1499877305601545,-7,-5,-1,6,4,1,-35,-32
1499877305608566,17,-7,8,-3,-5,-7,-6,127
1499877305608566,-9,16,29,14,5,5,34,20
1499877305623552,-13,-12,-26,-18,-15,-9,-86,-67
1499877305623552,-3,-15,9,-7,-2,4,24,23
1499877305630608,12,-12,12,9,3,0,-6,-34
1499877305630608,32,27,17,5,4,5,-59,-6
1499877305645604,35,-8,36,15,12,2,54,34
1499877305645604,-4,7,-10,2,-3,-3,-13,-5
1499877305653611,-3,-1,1,-5,-9,-1,-7,-19
1499877305653611,-18,-11,-28,0,-5,-7,-32,8
1499877305667602,14,1,-10,1,3,-2,-77,-2
1499877305667602,-16,2,-4,-20,-6,10,96,38
1499877305709557,-79,-5,13,10,2,5,12,-81
1499877305709557,-20,-7,-1,-23,-11,-6,-81,-62
1499877305713622,-17,-5,-10,-9,1,-6,-35,40
1499877305713622,28,3,-4,-6,-2,-5,-23,78
1499877305714591,33,0,3,9,-4,1,42,79
1499877305714591,-16,0,-3,-2,4,-2,-7,-61
1499877305714591,-8,2,-18,3,-4,5,22,-75
1499877305714591,-5,-6,-10,-7,-2,-2,-4,3
1499877305719606,28,5,7,6,2,-1,-21,-3
1499877305719606,5,-3,2,12,6,0,31,22
1499877305728547,17,3,9,9,-1,-4,18,20
1499877305728547,-25,-5,23,3,-2,-2,28,-81
1499877305734614,-2,-1,-15,-30,-12,-4,-10,3
1499877305734614,-11,-1,-12,-3,-2,-3,6,26
1499877305749607,1,-9,4,0,-4,-4,-37,-28
1499877305749607,3,6,-1,17,4,2,-3,49
1499877305757612,-4,0,7,-2,-3,-5,-18,-11
1499877305757612,-7,-6,-3,-29,-14,-9,-30,-24
1499877305780596,28,3,11,6,3,0,39,85
1499877305780596,-20,1,-8,-8,-4,1,4,55
1499877305780596,-16,1,8,10,11,-5,-77,-23
1499877305780596,10,-3,-7,11,-1,-1,9,4
1499877305795616,1,4,12,9,5,1,1,-35
1499877305795616,12,1,-2,7,2,5,42,-128
1499877305802593,6,-1,-14,-27,-12,-2,-5,-33
1499877305802593,-23,1,14,11,2,-2,18,39
1499877305817620,-13,-5,-4,-12,-5,-7,-62,-50
1499877305817620,-11,4,0,6,6,3,45,55
1499877305818553,30,5,0,18,8,3,-9,49
1499877305818553,12,-1,0,-6,-2,5,41,-31
1499877305840619,3,2,0,5,5,0,-16,-2
1499877305840619,27,2,-8,-5,1,7,21,32
1499877305841559,22,-3,8,-9,-9,-4,22,8
1499877305841559,-8,-1,-3,5,4,-2,-22,10
1499877305855617,-7,2,3,-2,3,1,20,84
1499877305855617,-7,-3,-10,-23,-12,-6,-38,-33
1499877305855617,3,-2,-8,4,0,-3,-7,61
1499877305855617,21,1,8,3,2,-1,-60,39
1499877305877614,-6,-6,-17,-20,-10,-2,-12,0
1499877305877614,-18,-5,20,19,11,0,-36,-3
1499877305878556,-7,-6,-20,-1,-6,-1,32,-35
1499877305878556,12,6,1,-41,-23,-8,-18,-36
1499877305900599,-23,-1,-4,3,2,3,28,-32
1499877305900599,-3,-4,-3,-5,-4,-3,-16,18
1499877305901584,-2,-2,0,16,11,4,3,-13
1499877305901584,14,6,11,28,14,4,-7,40
1499877305915616,-25,-11,-16,-21,-18,-10,-21,-91
1499877305915616,20,8,-4,5,2,5,58,-96
1499877305915616,5,-3,-1,3,2,-5,-6,-16
1499877305915616,-25,-8,2,5,1,7,18,-23
1499877305937618,1,2,0,-2,3,0,-39,1
1499877305937618,18,2,-5,1,-1,-9,-34,13
1499877305938580,-4,0,3,1,4,6,-12,-2
1499877305938580,34,-1,6,13,-3,-3,-11,87
1499877305960584,18,6,-12,-6,0,6,69,19
1499877305960584,1,-6,-4,-3,-6,-1,-27,102
1499877305961594,4,1,7,-6,-5,-1,27,9
1499877305961594,3,-2,-9,0,3,-5,-2,-2
1499877305974585,2,-4,9,9,6,5,-6,62
1499877305974585,6,-10,-14,-5,-6,0,26,-8
1499877305982583,-6,-2,-11,-34,-13,-3,21,12
1499877305982583,-2,4,6,2,1,3,10,-95
1499877305997638,-7,1,1,2,1,-4,-33,-60
1499877305997638,-32,-3,7,3,2,4,60,-99
1499877305998575,-8,-6,0,18,0,-4,-65,2
1499877305998575,-3,-9,-18,-10,0,3,52,0
1499877306020612,12,5,2,-6,-10,-11,-19,-42
1499877306020612,3,2,6,7,5,-5,-49,28
1499877306021568,-12,-5,-5,5,2,6,63,32
1499877306021568,-23,5,-2,-10,-7,1,38,-43
1499877306034608,5,-6,7,4,-1,0,-15,12
1499877306034608,5,0,-11,-8,-3,-6,-41,-4
1499877306042608,-2,2,13,8,5,-4,-29,56
1499877306042608,-57,-9,-7,-5,-1,-4,-10,-32
1499877306057589,19,0,-3,-3,-4,5,35,17
1499877306057589,-10,-4,-9,-19,-10,-5,-9,-48
1499877306058579,2,5,-3,-9,1,-2,-56,-38
1499877306058579,-11,-4,-3,9,-1,-4,11,-14
1499877306080638,9,1,2,5,-1,-3,8,-6
1499877306080638,-12,-1,1,2,3,1,3,-30
1499877306080638,4,5,6,5,-1,0,7,-19
1499877306080638,12,1,-9,4,-2,-7,-39,26
1499877306094639,-9,-4,-3,-9,-2,5,30,14
1499877306094639,-7,4,0,-4,-3,-6,-19,-46
1499877306102611,0,-1,2,2,-6,-5,39,14
1499877306102611,4,-7,-4,18,15,1,-13,3
1499877306117614,43,0,10,1,1,3,16,42
1499877306117614,-6,-7,-5,-35,-25,-8,13,66
1499877306118573,-9,0,-7,-8,-3,-7,-104,-23
1499877306118573,18,7,1,1,0,6,96,-17
1499877306140619,-23,-3,-9,17,12,0,-35,-16
1499877306140619,-14,3,20,11,5,2,67,-10
1499877306140619,6,-4,-9,-18,-6,-3,13,15
1499877306140619,31,-1,-5,-6,-4,-7,-69,8
1499877306154620,28,3,2,1,1,2,-26,12
1499877306154620,6,5,9,12,4,-1,-3,19
1499877306162610,-12,-7,-10,-17,-4,3,17,18
1499877306162610,-17,-1,-1,5,1,0,-13,-43
1499877306177614,-15,0,1,-2,-2,-1,-9,7
1499877306177614,30,-5,4,-2,-5,-6,-14,31
1499877306178589,8,-2,-4,1,7,2,20,-7
1499877306178589,10,1,3,7,1,2,8,53
1499877306200623,-30,-5,1,5,-5,-3,2,-46
1499877306200623,11,1,2,-13,2,2,-19,-4
1499877306201588,-2,-1,-15,0,-4,-1,7,-44
1499877306201588,15,-4,5,-8,-8,-4,18,10
1499877306214624,-33,-1,-3,6,7,-5,-8,11
1499877306214624,-5,-3,-4,7,-1,5,-19,-14
1499877306222618,-3,-1,4,-4,-3,-3,15,-14
1499877306222618,-23,-4,-9,-12,-9,-8,-5,1
1499877306237623,-8,1,-3,-6,-3,0,17,-25
1499877306237623,-5,-5,-3,-3,3,-3,-20,-56
1499877306238603,-9,-5,-9,-1,-4,-1,7,-56
1499877306238603,4,2,-3,-8,-2,3,4,43
1499877306260627,2,-1,10,-4,-2,-2,11,11
1499877306260627,-22,-3,-9,0,3,-3,-24,1
1499877306261582,0,4,8,12,5,-2,-24,-26
1499877306261582,6,3,4,2,1,3,26,13
1499877306274646,-4,-2,-11,-9,-5,-5,-15,5
1499877306274646,10,4,11,4,5,0,6,52
1499877306282622,12,-1,-1,3,-4,4,19,34
1499877306282622,3,-7,5,-4,-6,-1,-9,21
1499877306305657,-3,-2,-1,-6,1,-2,-2,13
1499877306305657,0,-2,-6,5,-1,0,-2,5
1499877306306597,-10,0,-2,-3,6,-1,-1,-14
1499877306306597,-5,2,-3,1,3,6,32,15
1499877306320650,-7,-2,-3,-4,-6,-6,-1,1
1499877306320650,-15,-4,-6,-5,-2,-1,-11,-5
1499877306321594,6,0,10,12,-1,-1,-14,-12
1499877306321594,-11,1,-1,-5,-3,-1,-9,-23
1499877306334655,29,2,7,-6,-1,-6,-36,45
1499877306334655,-59,-5,2,7,2,2,25,-41
1499877306342625,-14,-3,-3,0,-1,-3,41,34
1499877306342625,3,5,7,0,-1,-1,-19,-28
1499877306357646,-10,-7,-11,-10,-8,-1,-2,-10
1499877306357646,30,4,-3,-3,-3,-5,-20,75
1499877306358600,-1,0,3,6,2,0,-19,-64
1499877306358600,-2,2,5,0,-1,2,-2,-13
1499877306380655,0,-3,4,3,-1,0,27,5
1499877306380655,11,2,-1,-1,-2,-1,-13,3
1499877306380655,-4,-1,6,-5,-1,-1,7,17
1499877306380655,18,-1,-24,6,6,-1,-14,26
1499877306403659,-6,-1,4,-2,-1,2,4,-43
1499877306403659,0,-10,6,-1,-5,-5,-1,-4
1499877306404589,0,3,-2,-3,-4,-1,0,0
1499877306404589,-5,-2,5,-3,1,-1,-7,-14
1499877306417601,7,4,-7,6,5,5,15,40
1499877306417601,-4,-7,-14,-6,-3,-6,-13,-25
1499877306418599,5,1,8,4,3,3,5,9
1499877306418599,0,1,-4,-1,-3,-1,-1,20
1499877306440655,-2,-1,4,-3,-2,-3,8,18
1499877306440655,33,9,10,5,1,1,15,41
1499877306440655,-9,-10,-16,-11,-6,-1,-8,7
1499877306440655,0,-1,6,-1,1,-5,-15,-14
1499877306463663,7,3,-1,6,3,4,-4,-5
1499877306463663,6,-1,-10,0,0,3,16,14
1499877306464602,-3,-5,5,-3,-6,-4,-7,-10
1499877306464602,-3,-4,4,-1,-1,-2,-30,-10
1499877306477668,4,4,-4,3,0,2,30,34
1499877306477668,-21,-10,-2,-4,-1,-2,3,-37
1499877306478593,0,2,-5,-3,-2,-1,7,9
