emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-6,-21,-22,13,4,3,1,-28
-7,8,-17,-48,-35,-9,-17,-20
-4,-5,4,23,30,1,-2,-9
0,-11,4,-6,-18,0,6,16
7,16,4,36,27,5,3,-3
-2,-23,1,-25,4,6,11,21
-22,-54,-18,0,-19,-11,-18,-65
-1,-23,19,4,5,2,0,2
-2,47,-7,-18,-21,-4,0,-1
-3,-11,-5,30,13,1,-3,0
5,13,21,-10,-1,-4,-10,-6
-5,-17,-35,-51,-14,-3,-3,6
-4,14,-1,51,20,0,4,14
-1,-44,-13,0,-18,1,-3,-32
6,16,-4,0,4,3,12,33
-1,3,10,26,3,-5,-4,5
-9,24,17,-47,0,-1,-8,-22
8,-34,7,33,10,-1,11,1
-24,-37,-15,-52,-30,-6,-29,-47
6,9,-4,6,22,-2,3,7
-6,-10,0,8,-16,0,3,24
11,68,10,-23,-1,0,6,19
5,-14,-2,16,5,0,1,-17
-7,-23,4,3,-6,0,2,7
-4,-17,-35,40,-19,-4,-6,23
10,54,0,-75,10,-1,-8,-37
-2,27,-9,-2,2,1,7,17
6,27,6,29,16,7,15,8
-14,-57,3,-32,-5,-2,-12,-8
-8,-21,14,12,1,-5,-11,-2
12,2,-14,-14,-2,-1,4,21
-11,30,-3,2,-3,-2,-3,-1
10,-27,-9,5,-1,0,10,-11
-13,-35,-26,12,-15,-2,-8,7
4,10,23,16,6,1,-3,-2
5,-2,-10,-35,-10,-1,7,21
-4,42,9,0,-4,-6,-20,-71
-4,-12,-4,38,-1,0,-5,18
1,12,7,36,14,2,5,5
2,6,-25,-64,-18,-4,1,-22
-9,-43,-6,-19,-5,-1,-4,36
-1,44,8,-23,-10,-2,-4,2
2,4,-1,1,-1,-1,0,15
-1,-21,1,6,24,-1,-2,0
18,39,12,39,-15,1,11,24
-11,-23,-12,-47,0,-1,-4,-24
4,-4,6,-15,-6,-2,1,12
-6,-7,3,3,-1,1,-4,-15
1,-12,-9,11,-20,-3,7,17
8,8,-12,19,10,-2,0,-12
-7,-1,-6,18,10,-1,-7,-12
0,-36,34,-3,-11,4,-2,-2
-1,15,-26,8,8,-5,-1,3
-7,-28,0,-78,-13,1,18,46
-2,12,-9,-14,-8,-1,-6,-15
-1,21,13,40,15,-4,-15,0
-1,-26,24,11,-16,2,5,4
1,6,6,23,-20,2,3,-6
4,28,-18,23,25,2,10,-1
-14,-40,-12,-39,-26,1,-20,-17
16,32,12,13,8,-2,-3,-1
-12,-19,-18,-7,-2,-3,-1,-3
11,17,14,-9,-1,4,12,5
-12,-17,-9,29,0,-2,10,16
-10,-35,-4,-11,10,-4,-17,-21
7,46,14,68,20,5,-4,-18
-7,-32,-1,-51,-15,-1,0,12
6,5,-1,1,7,-4,5,-6
-4,40,-3,-13,10,1,8,5
3,5,22,18,-15,-5,-4,4
4,-15,-10,16,11,1,8,29
-7,3,-22,-21,-3,-1,-11,-32
-1,-1,0,-8,-10,-4,-5,-7
17,31,-3,-69,-7,-2,-1,1
-19,-64,-8,42,8,-1,-9,-42
-1,15,8,2,-3,2,4,18
0,-10,7,5,12,0,1,8
-3,39,7,-22,-14,-1,-6,-7
6,-28,-12,-30,-4,-3,-8,-25
-2,-13,-16,12,-20,-3,-1,-6
-2,4,16,-42,18,2,7,12
8,19,-2,28,6,0,1,-5
0,5,-9,13,-20,-3,2,17
-3,-9,-7,-2,4,-5,-3,-2
-2,-12,-4,12,-2,2,1,2
-15,-20,-2,-21,2,1,-3,-6
8,30,13,4,4,0,8,11
2,5,9,-16,-14,2,3,1
-2,-17,-14,1,9,-3,1,-3
3,-18,5,27,7,1,-1,20
-4,10,1,-24,-20,-1,-6,-9
12,34,6,25,15,1,7,23
-13,-13,3,-13,-11,-2,-7,-45
5,-39,-2,18,-3,0,-1,14
-5,4,-26,16,27,2,-2,-13
12,52,15,-6,-7,-5,-1,4
-8,-20,0,-16,-3,-1,7,15
-10,-36,-34,4,-13,-6,-5,-15
0,12,28,-11,10,-1,4,24
0,-22,-16,-7,-9,-3,-11,-38
7,46,21,26,4,2,-2,7
-3,31,14,-37,-10,-3,2,1
2,12,-9,32,-3,-1,9,17
-5,-62,-10,-46,2,3,-11,-22
-2,13,9,22,-6,0,1,-4
2,22,0,20,16,-1,-4,-15
3,-8,-1,-8,-7,0,11,18
-12,-3,6,29,-7,-5,3,0
9,60,1,-44,13,5,-5,-5
8,-100,-17,-8,0,0,7,4
-18,17,-13,-12,-12,-6,-15,1
-2,-6,0,20,7,1,6,13
-5,-3,-1,11,-5,0,-1,-7
2,28,17,30,10,3,2,0
5,-3,-9,-31,-18,0,2,-8
-5,10,-5,-17,16,-4,-22,-48
-9,-83,-21,-40,-30,-4,1,8
1,61,10,3,13,-2,-5,-11
3,-29,18,78,31,5,0,5
-4,-49,-5,-60,-33,-6,16,43
0,32,4,-8,-6,-7,-13,-23
-4,8,9,38,2,0,-2,-1
1,-11,-11,-63,-13,-4,-8,-7
3,10,4,46,17,2,9,15
-1,3,10,24,-23,-2,11,38
-4,10,-11,-13,15,0,-8,-36
-3,24,-17,-28,-14,-2,-7,15
15,50,4,1,4,3,2,9
-5,-67,-4,28,-2,-1,0,6
-4,27,3,21,5,-1,-2,22
-6,-36,11,-47,-9,0,3,-10
3,-6,-15,-39,-9,-1,-3,11
2,36,-12,37,20,1,10,18
8,5,-2,-1,-6,-2,5,2
-8,-11,9,14,-5,-2,-12,-14
-2,26,18,43,22,-3,-2,-1
2,20,-4,-8,-8,0,-1,-14
5,36,-21,-16,14,6,6,-1
-10,-61,-8,-15,-16,-4,-13,-15
2,-12,-5,14,11,-3,-6,-7
-1,-1,0,2,8,2,0,-27
-5,-42,-11,-24,-27,-5,-6,15
11,121,16,40,10,0,12,9
-17,-65,3,25,2,0,4,8
8,20,-1,-33,1,1,-7,-13
8,8,-11,35,13,-8,-13,-6
-5,-49,0,-28,-15,3,7,15
-10,7,-3,15,15,2,-3,-15
3,-3,-2,-18,-20,-1,8,48
-12,15,16,-28,-8,-1,-16,-45
14,41,-8,9,-14,-1,3,20
-2,12,-7,24,9,-2,-5,-11
2,-37,1,-7,6,3,2,1
-4,16,3,-21,-1,0,5,1
-9,-42,2,7,9,-4,2,2
4,8,-6,-13,-14,0,-7,-10
12,80,13,56,16,-3,-8,-17
-14,-87,-16,-100,-1,3,4,6
-1,36,4,25,-4,-1,-1,25
2,10,11,43,-11,0,3,-9
2,11,-12,-85,11,-2,-7,-5
-9,-59,9,58,-8,-1,-2,3
11,4,-2,-55,1,0,-5,4
4,58,2,11,-3,-1,5,9
-19,-97,-10,-35,-28,-7,-14,-18
6,5,-8,14,13,4,7,17
6,24,19,26,-3,1,2,-13
-4,-25,-10,-15,0,1,-1,0
0,-10,-17,-24,-18,-4,1,4
-9,-13,10,-4,24,0,1,0
3,-23,-3,19,-1,-2,-1,-9
5,15,-15,-22,-16,-1,0,-17
-3,-34,-1,43,9,4,2,6
8,-32,-7,-6,-22,-3,8,20
-15,39,-1,18,8,-4,-10,-39
0,-10,9,-30,3,-2,-6,14
2,41,8,31,11,3,1,7
7,35,-5,-24,-28,-4,5,-10
11,-58,-6,41,28,4,-5,-28
-27,-86,-13,-76,0,-1,-3,4
-5,-43,5,-11,-6,-5,-2,12
2,38,17,38,6,-1,0,-11
9,27,-20,14,-6,-3,6,10
-1,19,-6,-17,-10,-3,-1,-12
9,12,-15,3,7,-3,-4,16
0,36,18,17,5,0,6,2
-15,-36,-19,-17,-16,-1,-5,9
9,12,-1,4,10,1,4,17
-4,28,6,-20,-4,1,1,-23
5,19,5,34,4,-2,-3,-13
0,33,1,-18,-25,-1,3,22
3,18,3,10,22,0,8,-10
-5,-46,-5,19,-8,-8,-13,-12
-14,-52,-14,-39,-22,-3,-19,-9
-5,22,8,6,9,-1,-2,-13
15,89,8,18,-4,2,8,26
21,1,-13,3,10,8,14,-22
-37,-71,-14,14,3,-5,-6,-6
-1,9,15,15,7,-2,-1,1
-1,1,-2,-19,-5,-1,-4,-1
1,34,16,1,-7,0,7,-2
12,28,-9,-21,-28,3,7,13
1,-36,-7,-10,31,-4,0,-21
4,-2,13,23,1,2,-1,-4
-8,15,1,3,-9,-2,-3,-4
15,-28,4,-36,-9,2,12,32
-8,18,3,27,4,-4,-22,-46
-14,-36,-9,-19,-13,-5,-10,-20
-11,-26,-26,-24,-4,-3,-5,-2
9,26,1,46,-5,-3,-4,8
-14,-34,-5,-56,-13,4,15,-2
3,-4,4,-2,-7,-1,-6,2
-10,-19,6,34,10,-3,0,-4
9,49,0,2,0,2,-1,-9
2,-54,-6,-13,-1,0,2,30
-5,-2,-6,6,-8,0,-1,-8
4,44,14,-2,12,3,4,19
