emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-28,-120,5,47,4,2,-4,-50
14,98,8,-43,2,1,-11,-35
-11,-47,4,-7,-5,5,9,15
20,-28,17,4,-6,0,19,98
-31,-84,-7,-16,1,-6,-14,-44
-1,4,-13,55,-14,-3,-6,-64
-18,-19,-2,-19,4,-5,-25,-24
9,-36,3,41,10,-5,1,19
5,35,12,-39,-13,2,17,49
-27,-98,-24,61,14,-6,-10,-1
14,34,-30,-61,-20,-3,-9,-39
6,-4,-5,8,7,4,8,16
-11,76,8,-43,10,-1,0,1
4,3,5,-18,6,2,-8,-3
-2,37,-4,9,34,-3,12,64
13,-4,19,-15,-23,-2,-11,-15
-1,37,4,-27,-7,-4,8,-25
-4,23,36,25,7,-1,2,-3
14,-54,-22,24,-15,-1,2,44
16,49,-16,-89,7,3,11,29
-18,41,-3,30,31,1,-14,-42
-12,62,23,-23,-17,-2,-1,6
24,12,31,62,22,14,15,49
-21,29,-1,18,-6,-8,-18,-82
3,-99,5,-10,-10,0,1,-9
15,59,-9,56,8,2,10,20
-39,-65,-3,-91,-37,-7,-22,-5
-6,-98,-22,80,7,0,14,15
2,13,-17,-71,13,0,-15,15
-6,-27,2,6,-11,-1,4,2
30,76,10,19,-4,2,6,3
-18,-61,-12,-7,-16,-5,13,41
-18,-37,-8,49,23,-10,-26,-28
24,23,23,6,-8,2,10,43
-40,-80,-6,-25,-26,-7,-13,-51
-6,57,39,28,45,-1,-2,0
22,-14,-17,-23,0,6,7,-11
-20,-23,-3,-34,0,-5,-25,-12
31,124,7,71,7,-1,0,4
-23,-107,-72,-64,-19,-11,-7,1
-9,-49,6,-15,-16,-2,4,27
19,35,-2,30,-12,0,7,8
-16,-81,-6,-52,2,0,7,3
10,28,39,0,12,7,-12,-24
5,35,-9,40,5,1,17,60
16,41,-1,-14,6,1,6,-38
4,-49,-7,33,1,-2,-2,52
-5,6,-4,67,-10,-4,-6,-31
0,-29,19,-18,-2,-5,-8,-5
9,53,-26,0,-18,9,17,9
-13,-42,-14,25,31,-6,-6,-7
15,56,14,-2,-4,9,14,15
-3,37,11,20,-1,-8,-12,4
15,-50,1,26,10,-1,4,-1
5,80,2,-17,-16,0,0,0
-1,10,25,15,0,6,-7,9
1,5,13,-13,-2,1,7,-20
-13,-32,-42,-44,-30,-10,-20,-12
8,29,-18,9,25,3,7,-18
-28,-53,-3,-41,3,-8,-8,-5
12,46,8,5,-7,6,20,43
-3,13,-14,-21,-13,-8,-12,-11
-16,-65,2,25,2,-2,-12,-10
7,56,11,0,7,1,0,-2
5,44,7,-1,-26,-2,0,6
-36,-85,-41,-4,1,-9,-12,-40
13,34,-1,33,-10,-3,0,6
-1,39,-4,-33,10,8,5,-4
6,11,10,16,11,-5,-5,-8
-9,-6,0,-19,-1,10,16,29
-2,-21,-12,-76,-21,-7,-6,-51
22,-23,-11,6,-13,3,7,17
-19,31,-1,-13,-15,-4,-6,20
9,57,36,12,-1,0,2,16
-8,6,-11,11,18,-1,-6,-8
4,45,-7,-33,-47,-8,9,18
-5,4,-17,20,20,6,3,-15
-10,-39,12,37,-2,-2,-11,-13
13,45,30,-5,10,6,10,16
11,-54,-18,-60,-6,1,10,31
-29,22,-3,7,-14,-11,-22,-84
2,-2,31,24,12,-4,-16,-16
13,23,8,10,-7,6,9,9
-8,-25,11,32,4,4,9,12
2,-25,-7,2,-12,-2,-11,-35
3,-5,31,0,38,11,21,34
-7,-26,-53,-34,-36,-6,-4,-14
-7,37,33,32,7,-2,-11,-22
-11,-9,-36,-113,-4,1,-8,-20
-9,-56,-27,52,-5,-4,-6,-11
0,5,16,4,-6,0,12,3
11,-52,-19,43,22,-5,2,42
6,-29,7,2,-2,1,1,-4
20,116,29,-14,2,1,3,-9
-36,-117,-5,22,-4,-1,-4,-13
12,24,-15,11,1,2,4,16
9,51,20,2,6,-2,-16,-8
-1,-47,-24,25,23,-1,13,17
9,74,17,-61,-24,-9,-17,-33
-11,11,-7,-5,-3,-3,-12,-18
-2,-67,-6,19,22,4,11,24
19,80,-15,10,-14,-2,5,45
-40,-54,-19,-23,-4,-1,5,-13
-1,44,40,-14,25,2,-14,-20
12,74,11,74,-15,3,11,23
-15,-85,-62,-93,-30,-10,-4,13
28,48,30,52,52,12,17,54
-11,-24,20,-13,-44,-15,-20,-73
6,-53,-9,-6,29,8,-9,30
7,31,6,-9,-2,8,10,-12
-5,-19,-32,-36,-17,-5,-1,46
-12,-12,9,44,-6,0,-5,-70
10,13,-16,-4,4,-2,10,25
-15,2,-5,1,-30,-3,-14,-40
8,-58,-3,-10,57,-1,0,5
0,57,33,67,24,6,9,32
22,37,-14,-64,-25,0,8,1
-24,-53,-2,25,0,-6,-13,-10
20,81,8,14,-23,-1,-5,-8
-25,-92,-13,-48,0,-10,-8,6
5,46,-6,-29,-3,-3,4,4
-10,-31,6,-3,18,2,21,61
-3,-41,11,26,-22,-3,-20,-15
9,20,-14,-14,-13,-1,-1,-21
-17,19,13,16,-6,-5,-7,11
31,-41,19,4,17,3,1,12
-13,-12,-5,-27,-14,7,7,-6
8,43,5,13,-11,1,7,11
-4,-33,-3,-9,9,0,0,-3
5,77,-13,-48,-28,-3,-2,-10
