timestamp,roll,pitch,yaw
1499878421426680,-1.50416,-0.136245,0.356217
1499878421441682,-1.50403,-0.135711,0.353323
1499878421463698,-1.50353,-0.135249,0.349422
1499878421486732,-1.50288,-0.134777,0.344119
1499878421501696,-1.50234,-0.133624,0.337703
1499878421523728,-1.50304,-0.132854,0.33109
1499878421546702,-1.50592,-0.131867,0.323738
1499878421576689,-1.51255,-0.131744,0.317132
1499878421585752,-1.51652,-0.129439,0.312765
1499878421593723,-1.5156,-0.125621,0.312336
1499878421613736,-1.51385,-0.119944,0.312166
1499878421637729,-1.51666,-0.113077,0.311479
1499878421658737,-1.52237,-0.110019,0.309383
1499878421713764,-1.524,-0.113049,0.300058
1499878421714707,-1.53353,-0.117236,0.285575
1499878421719740,-1.54512,-0.122773,0.267604
1499878421733758,-1.55531,-0.128499,0.247723
1499878421756742,-1.56514,-0.129529,0.230754
1499878421770767,-1.57177,-0.128229,0.217679
1499878421792739,-1.57931,-0.126691,0.20858
1499878421815741,-1.585,-0.126788,0.203032
1499878421830749,-1.58196,-0.128751,0.199471
1499878421852772,-1.57879,-0.129241,0.197707
1499878421875751,-1.58193,-0.128153,0.197812
1499878421890772,-1.58527,-0.128767,0.19847
1499878421913715,-1.58245,-0.130876,0.198226
1499878421935773,-1.57891,-0.132973,0.198885
1499878421950774,-1.5792,-0.134587,0.199007
1499878421974714,-1.58277,-0.133894,0.199242
1499878421995777,-1.58585,-0.133657,0.199184
1499878422010788,-1.58421,-0.134518,0.197867
1499878422033737,-1.58176,-0.134422,0.196832
1499878422055791,-1.58084,-0.134247,0.19668
1499878422070776,-1.58043,-0.134199,0.197434
1499878422092747,-1.58009,-0.133979,0.198713
1499878422115784,-1.57978,-0.135491,0.199492
1499878422130789,-1.57817,-0.136513,0.199218
1499878422152769,-1.57627,-0.136976,0.198833
1499878422175766,-1.57544,-0.136962,0.199035
1499878422190770,-1.57576,-0.136934,0.199926
1499878422212799,-1.57571,-0.137651,0.200975
1499878422235794,-1.57497,-0.138853,0.201543
1499878422250763,-1.57432,-0.139434,0.202196
1499878422273749,-1.57426,-0.139455,0.20289
1499878422295799,-1.57476,-0.139754,0.203449
1499878422310800,-1.57488,-0.140102,0.20381
1499878422333755,-1.57488,-0.140001,0.203894
1499878422355796,-1.57571,-0.139911,0.203777
1499878422370805,-1.57614,-0.13944,0.203717
1499878422392755,-1.57545,-0.14002,0.204194
1499878422415806,-1.57381,-0.141421,0.20531
1499878422430808,-1.57286,-0.141979,0.20725
1499878422452781,-1.57288,-0.142225,0.209076
1499878422475806,-1.57337,-0.142022,0.210157
1499878422497806,-1.57291,-0.141726,0.209774
1499878422512813,-1.57282,-0.141636,0.20933
1499878422535812,-1.57272,-0.14182,0.20863
1499878422550810,-1.57235,-0.142113,0.20817
1499878422572811,-1.57104,-0.141987,0.208683
1499878422595816,-1.56964,-0.142157,0.209459
1499878422610819,-1.56925,-0.142016,0.210297
1499878422633763,-1.56986,-0.141708,0.211123
1499878422655798,-1.57182,-0.142034,0.212136
1499878422670814,-1.57461,-0.142078,0.213204
1499878422694756,-1.57696,-0.142623,0.214162
1499878422715826,-1.57777,-0.142794,0.214656
1499878422733759,-1.57755,-0.142733,0.215423
1499878422754759,-1.57774,-0.142636,0.216568
1499878422775825,-1.57847,-0.142381,0.218009
1499878422793770,-1.579,-0.142245,0.219178
1499878422814762,-1.57878,-0.142012,0.220117
1499878422835838,-1.57929,-0.141444,0.22154
1499878422853778,-1.58023,-0.141168,0.223171
1499878422874769,-1.5801,-0.141093,0.224466
1499878422895836,-1.57962,-0.140463,0.225296
1499878422913768,-1.57855,-0.139961,0.225647
1499878422934771,-1.5778,-0.13935,0.225935
1499878422955821,-1.57705,-0.138566,0.226396
1499878422973781,-1.57653,-0.138109,0.226879
1499878422995775,-1.57533,-0.137732,0.227315
1499878423015848,-1.57344,-0.137332,0.227789
1499878423033786,-1.572,-0.136731,0.228124
1499878423055778,-1.57132,-0.13628,0.228593
