timestamp,x,y,z
1499875944353218,-0.4375,1.25,0.5
1499875944368221,0.375,0.9375,0.5
1499875944392220,0.6875,0.75,-0.1875
1499875944414221,1.1875,0.9375,-0.3125
1499875944428235,0.625,0.625,-0.875
1499875944451224,1.375,0.4375,0.3125
1499875944475228,3.3125,0.25,0.3125
1499875944488229,4.875,0.0625,1.375
1499875944511228,2.3125,0.6875,1.1875
1499875944533229,3.4375,1.75,1.625
1499875944554231,1.6875,2.0625,1.75
1499875944571242,-0.25,1.9375,2.125
1499875944594234,3.75,2.5,2.4375
1499875944614237,5.8125,2.8125,2.4375
1499875944631235,5.375,2.3125,2.75
1499875944659237,8.0625,2.25,3
1499875944674237,8.3125,0.8125,3.1875
1499875944691238,3.3125,1.8125,1.6875
1499875944713239,0.75,1.8125,1
1499875944734240,11,0.375,2.875
1499875944751242,18.5,-0.875,3.9375
1499875944773243,16.3125,-1.375,3
1499875944795253,17.9375,2.125,4.375
1499875944811249,12,4.375,3.8125
1499875944833248,10.9375,1.25,3.5625
1499875944854251,14.5,6.0625,3.6875
1499875944871247,-4.4375,13.4375,-2.4375
1499875944895252,-18.5625,6.5625,1.1875
1499875944914252,-32.625,-0.5,0.25
1499875944930255,-22.875,-5.5625,-0.625
1499875944953253,-5.3125,-2.625,-0.9375
1499875944974253,-2.4375,0.1875,-1.125
1499875944990257,-7.125,1.1875,-2.8125
1499875945015258,-11.9375,1.875,-2.25
1499875945036258,-11.1875,2.125,-2
1499875945051259,-1.875,4.5625,-3.8125
1499875945074259,-3.0625,3.0625,-4.1875
1499875945096262,-6.6875,-0.0625,-3.5
1499875945111267,-4.875,-0.9375,-3.4375
1499875945133263,1.125,0.0625,-1.875
1499875945156266,1.8125,0.875,-2.625
1499875945170269,-6.9375,-2.0625,-1.875
1499875945193269,-5.6875,-2.375,-0.25
1499875945217268,-2,-1.125,0.3125
1499875945230269,0.125,1.0625,0.6875
1499875945253280,-2.5,-0.375,0.8125
1499875945276271,-2.5625,-1.5625,0.75
1499875945299273,0,-1,0.625
1499875945313273,-0.5625,-0.1875,-0.3125
1499875945336275,1,-1.4375,0.25
1499875945350275,-2.6875,-1.375,-0.5
1499875945379282,-4.75,-1.0625,-0.25
1499875945396281,0.4375,0,-0.125
1499875945411291,2.4375,0.375,0.125
1499875945433282,-2.5,-0.5,0.25
1499875945456282,-2.1875,0.875,-0.5
1499875945470282,0.4375,1.0625,0.25
1499875945493284,3,0.4375,-0.25
1499875945516285,1.3125,-0.1875,-0.875
1499875945537287,0.5625,0.0625,-0.5
1499875945553289,1.5625,0.1875,0.1875
1499875945576289,0,0.0625,0.0625
1499875945597291,-2.375,0.4375,-0.3125
1499875945619301,-2.3125,1.625,-0.625
1499875945636295,-0.4375,0.75,-0.3125
1499875945657311,-0.375,-1,-0.1875
1499875945673294,0.625,-1.0625,-0.375
1499875945696295,-2.125,-0.25,0
1499875945717297,-2.25,1.4375,0.1875
1499875945733299,-1.375,0.375,-0.4375
1499875945756300,-1.125,-1,-1.25
1499875945777302,-1.8125,-0.75,-1.125
1499875945801301,-2.0625,-0.375,-1.875
1499875945816303,-1.6875,0.4375,-2.375
1499875945837304,-2.3125,-0.4375,-2.4375
1499875945853329,-2.5,-0.0625,-2.3125
1499875945876307,0,-0.1875,-1.125
1499875945897314,-1,-0.0625,-0.5625
1499875945913309,-1.875,-0.5625,-0.0625
1499875945936309,0.0625,-0.625,0.375
1499875945958311,1.1875,-0.1875,-0.0625
1499875945973312,-0.9375,-0.25,-0.375
1499875946002314,-1.5,-0.0625,-0.375
1499875946019315,-1.25,-0.5625,-0.625
1499875946039318,0.75,-0.625,-0.375
1499875946056317,0.25,-0.125,-0.3125
1499875946078334,-1.5,0.0625,0.25
1499875946093320,-1.625,1.375,-0.0625
1499875946116320,-0.9375,0.625,-0.25
1499875946138326,-3.625,0.375,-0.375
1499875946153324,-1,1.0625,0
1499875946176322,0.5,1.3125,-0.25
1499875946198325,0.875,0.9375,-0.8125
1499875946213326,-0.1875,-0.25,-1
1499875946236331,-0.6875,1,-1
1499875946258328,-1.5,2,-1
1499875946273330,-1.5,2.0625,-0.625
1499875946296332,-0.0625,0.6875,-0.375
1499875946318333,-0.9375,-0.0625,-0.1875
1499875946333337,-0.5,0.375,0
1499875946356335,0,1.0625,-0.25
1499875946378336,1.0625,1.375,-0.4375
1499875946393338,0.1875,0.0625,-0.625
1499875946416337,-1.375,-1,-1.125
1499875946438339,-0.125,-0.125,-1.0625
1499875946459349,0.0625,1.125,-0.9375
1499875946476341,0.4375,0.5625,-1.5625
1499875946498343,0.375,-0.875,-1.9375
1499875946519345,0.5625,-1.625,-1.125
1499875946536344,-0.6875,0.5,-0.875
1499875946558346,-1.9375,1.625,-0.625
1499875946579347,-1,2.125,-0.9375
1499875946596348,-0.0625,0.0625,-1.0625
1499875946618350,-2.4375,-1.125,-1.875
1499875946639350,0.75,-0.625,-1.125
1499875946656352,0.0625,0.6875,-1.1875
1499875946679352,-1.0625,0.5625,-1.6875
1499875946699356,-2.375,-0.0625,-1.875
1499875946716355,-1.0625,-0.5625,-2
1499875946752359,0.4375,-0.1875,-2.1875
1499875946759358,-2.5,0.0625,-2.0625
1499875946776361,-0.875,1.125,-1.6875
1499875946798359,2.125,0.3125,-1.25
1499875946819363,-2.125,0.3125,-0.6875
1499875946836362,-1.625,1.1875,-0.375
1499875946864364,-1.0625,1.625,-0.375
1499875946881367,-1.5625,1.4375,-0.8125
1499875946896366,-1.125,0.625,0.0625
1499875946918367,0.8125,0,0.6875
1499875946941369,0.8125,0.25,1.375
1499875946956369,-1.6875,0.75,1.625
1499875946978375,-0.0625,1.25,1.6875
1499875947001372,0.5,0.25,1.25
1499875947016372,-0.1875,-0.3125,1.6875
1499875947038377,1.3125,-0.4375,2.0625
1499875947061374,1.125,0.1875,1.9375
1499875947075375,0.125,0.4375,1.125
1499875947098377,-0.3125,0.3125,0.6875
1499875947121378,-0.125,0.0625,0.5625
1499875947135380,-0.3125,-0.4375,0.4375
1499875947158382,-0.0625,-0.375,0.25
1499875947181382,0.3125,-0.25,0.375
1499875947202383,-1.0625,-0.0625,0.375
1499875947218384,-1.375,0.3125,0.1875
1499875947241385,-0.5,0.0625,0.1875
1499875947255386,-0.125,0.3125,0.3125
1499875947278394,-0.75,-0.375,0.25
1499875947301395,-1.1875,-0.4375,-0.0625
1499875947315390,-0.375,-0.25,0
1499875947338390,-0.125,0.4375,-0.625
1499875947368397,-1.25,0.5625,-0.75
1499875947382393,-1.1875,0.3125,-1
1499875947404394,-1.1875,0.0625,-0.875
1499875947421396,-0.0625,0,-0.75
1499875947442398,0.3125,0.0625,-0.5
1499875947458398,0.6875,0.625,-0.75
1499875947481399,0.125,0.8125,-1.125
1499875947502400,-0.4375,0.625,-0.6875
1499875947519402,-0.3125,-0.875,-0.0625
1499875947541403,-0.125,-0.5,0.1875
1499875947562403,0.8125,0.75,0.25
1499875947578426,0,0.875,0.375
1499875947584408,0,0.625,0.4375
1499875947606407,-0.75,0.0625,0.75
1499875947629408,0.75,0.4375,0.6875
1499875947644409,0.75,0.625,0.875
1499875947666410,0.625,0.375,0.875
1499875947689440,0.8125,-0.25,0.6875
1499875947704412,1.4375,-1.0625,0.75
1499875947726415,1.1875,-1,0.375
1499875947749414,1.5625,-0.3125,0.0625
1499875947764415,1.25,-1.3125,-0.5
1499875947786424,0.125,-2.125,-0.875
1499875947809441,0,-2.4375,-1.5
1499875947824420,-0.4375,-2.0625,-1.4375
1499875947846421,-1.5,-1.125,-1.25
1499875947869421,-1.6875,-1.1875,-0.9375
1499875947884423,-0.1875,-1.625,-0.3125
1499875947906426,-1.75,-0.8125,-0.25
1499875947929429,-1.4375,-0.3125,0
1499875947944430,-0.25,0.25,-0.0625
1499875947966428,-1.1875,-0.4375,0
1499875947989429,-0.4375,0.0625,0.25
1499875948004429,-0.1875,0.6875,0.375
1499875948026432,0.625,1.8125,0
1499875948049436,-0.4375,1,-0.375
1499875948063435,-1.5,-0.6875,-0.3125
1499875948086441,-0.75,-1,-0.1875
1499875948108436,-1.5,-0.0625,0.1875
1499875948124438,-0.8125,0.3125,0.6875
1499875948146439,0.125,0.4375,0.25
1499875948169440,0.375,0.3125,0.1875
1499875948186441,-0.625,0.0625,0.4375
1499875948207441,-0.5625,0.125,0.1875
1499875948229443,0.1875,0.25,0.5
1499875948244458,-0.6875,0.0625,0.6875
1499875948266445,0.375,0,0.8125
1499875948289445,-0.125,0.375,0.1875
1499875948305448,-1.3125,0.125,-0.0625
1499875948326449,-0.1875,0.1875,-0.25
1499875948349468,0.5,-0.0625,0.4375
1499875948363450,0.625,-0.5,0.125
1499875948386453,0.625,-1.125,-0.4375
1499875948409453,0,-0.4375,-0.75
1499875948425454,-0.25,0.125,-1
1499875948446455,-1.4375,-0.25,-1.0625
1499875948469457,-1.0625,-0.4375,-0.8125
1499875948487466,-0.625,-0.625,-0.75
1499875948506462,-0.3125,-0.875,-0.625
1499875948529464,-0.5625,-0.125,-0.125
1499875948545463,-1.3125,0,0.4375
1499875948566465,-1.0625,0.25,0.375
1499875948588463,0.25,-0.1875,0.375
1499875948605464,0.5,-0.25,0.5
1499875948626465,-0.9375,0.5,0.4375
1499875948648469,-0.375,0.875,0.125
1499875948665468,-0.0625,0.75,-0.3125
1499875948686469,-0.5,-0.125,0.125
1499875948709470,0.25,-0.375,0
1499875948725471,0.375,0.0625,0.5
1499875948749473,-1.25,0.75,0.25
1499875948769476,-1,1.3125,-0.125
1499875948786480,-1,1.0625,-0.0625
1499875948806475,0.8125,0.75,-0.0625
1499875948829478,0.75,-0.25,-0.125
