timestamp,x,y,z,w
1499879214591687,-0.64447,-0.151672,0.102234,0.742432
1499879214614688,-0.643982,-0.151855,0.102539,0.742737
1499879214637688,-0.643433,-0.1521,0.102783,0.743164
1499879214653690,-0.642151,-0.151611,0.103577,0.744263
1499879214674690,-0.640076,-0.150818,0.10498,0.745972
1499879214698693,-0.636902,-0.149475,0.105469,0.748901
1499879214713707,-0.635132,-0.149231,0.104065,0.750671
1499879214758711,-0.635742,-0.149353,0.103821,0.750122
1499879214767697,-0.636841,-0.148804,0.105957,0.749084
1499879214774724,-0.63855,-0.14856,0.106873,0.747498
1499879214795761,-0.63501,-0.147461,0.107727,0.75061
1499879214818713,-0.631836,-0.145935,0.108765,0.753418
1499879214841706,-0.633423,-0.145813,0.109314,0.752075
1499879214894770,-0.63623,-0.146179,0.109375,0.749573
1499879214895710,-0.637817,-0.14624,0.109131,0.74823
1499879214896711,-0.637756,-0.146362,0.108643,0.748352
1499879214915720,-0.638062,-0.146912,0.108093,0.748047
1499879214937749,-0.638855,-0.147766,0.107483,0.747314
1499879214951745,-0.639832,-0.148499,0.107117,0.746338
1499879214974743,-0.640381,-0.149231,0.106873,0.74585
1499879214996756,-0.640625,-0.149597,0.106445,0.745544
1499879215011759,-0.641052,-0.149658,0.10614,0.745239
1499879215034757,-0.641968,-0.149719,0.106018,0.744446
1499879215056782,-0.64209,-0.149536,0.105896,0.744385
1499879215071755,-0.642029,-0.14917,0.105713,0.744568
1499879215094729,-0.642578,-0.149048,0.105286,0.744141
1499879215116765,-0.643433,-0.148865,0.105042,0.743469
1499879215131766,-0.643921,-0.148926,0.105042,0.743042
1499879215154764,-0.643921,-0.148987,0.104736,0.743103
1499879215176763,-0.64447,-0.149292,0.104126,0.742676
1499879215191724,-0.644653,-0.149414,0.103638,0.742554
1499879215214759,-0.644775,-0.149719,0.103088,0.742432
1499879215236748,-0.645386,-0.150146,0.1026,0.741943
1499879215251768,-0.645569,-0.150513,0.102234,0.741699
1499879215274773,-0.64563,-0.150452,0.101929,0.741699
1499879215296798,-0.645874,-0.150513,0.101868,0.741516
1499879215311781,-0.646118,-0.150635,0.101868,0.741272
1499879215334745,-0.64624,-0.150513,0.101868,0.74115
1499879215356734,-0.646362,-0.150269,0.101868,0.741089
1499879215371783,-0.646484,-0.150024,0.101746,0.741089
1499879215394777,-0.646851,-0.149963,0.101624,0.740784
1499879215416798,-0.646973,-0.149841,0.101501,0.740723
1499879215431783,-0.647278,-0.149841,0.101379,0.740479
1499879215454746,-0.647278,-0.149841,0.101379,0.740479
1499879215476784,-0.6474,-0.149963,0.101257,0.740356
1499879215491787,-0.6474,-0.149963,0.101257,0.740356
1499879215514818,-0.647522,-0.150024,0.101196,0.740234
1499879215536788,-0.647583,-0.150024,0.101196,0.740234
1499879215551790,-0.647522,-0.150024,0.101196,0.740234
1499879215574817,-0.647583,-0.150024,0.101013,0.740234
1499879215596749,-0.647705,-0.149963,0.10083,0.740173
1499879215611791,-0.647705,-0.149963,0.100891,0.740173
1499879215634787,-0.648132,-0.150024,0.100952,0.739746
1499879215656830,-0.648376,-0.149902,0.10083,0.739563
1499879215671798,-0.648376,-0.149902,0.10083,0.739563
1499879215694764,-0.648438,-0.149902,0.100647,0.739563
1499879215716822,-0.648682,-0.150024,0.100586,0.739258
1499879215731799,-0.648682,-0.150024,0.100586,0.739319
1499879215757790,-0.648682,-0.150024,0.100586,0.739319
1499879215776828,-0.648682,-0.150024,0.100586,0.739319
1499879215791803,-0.648682,-0.150024,0.100586,0.739319
1499879215814792,-0.648926,-0.150146,0.100708,0.739014
1499879215836825,-0.648926,-0.150146,0.100647,0.739014
1499879215851773,-0.648926,-0.150208,0.100647,0.739014
1499879215877763,-0.648926,-0.150208,0.100647,0.739075
1499879215896825,-0.648926,-0.150208,0.100647,0.739075
1499879215914765,-0.648926,-0.150208,0.100647,0.739075
1499879215937807,-0.648926,-0.150208,0.100647,0.739075
1499879215956813,-0.648926,-0.150208,0.100647,0.739075
1499879215974777,-0.648926,-0.150208,0.100647,0.739075
1499879216001817,-0.648804,-0.150085,0.100525,0.739258
1499879216016833,-0.648743,-0.150024,0.100525,0.739258
1499879216034782,-0.649109,-0.149902,0.100403,0.738953
1499879216057779,-0.649292,-0.14978,0.100342,0.738892
1499879216076823,-0.649536,-0.149658,0.100342,0.738708
1499879216094776,-0.649658,-0.149658,0.100342,0.738586
1499879216117777,-0.64978,-0.149597,0.100281,0.738464
1499879216136777,-0.64978,-0.149597,0.100281,0.738464
1499879216154780,-0.650085,-0.149597,0.10022,0.73822
