timestamp,x,y,z
1499893757756680,1.125,-0.3125,1.75
1499893757779682,-1.375,0.375,1.625
1499893757795684,-2.25,1,1.125
1499893757818702,-0.8125,1.125,1.6875
1499893757839682,-1.5625,0.25,2.875
1499893757854742,-4.6875,-0.75,2.1875
1499893757878728,-1.875,-1.5625,2.75
1499893757899732,2.1875,-0.875,3.1875
1499893757955731,3.75,-0.125,4.125
1499893757957730,5.875,-0.0625,5
1499893757958697,5.75,1.3125,4.4375
1499893757971706,5.25,1.1875,5.125
1499893757991728,8.6875,0.6875,5.0625
1499893758013733,1.8125,3.25,1.875
1499893758056753,4.5625,3.75,3.4375
1499893758067745,0.375,1.5625,3.875
1499893758073703,3.75,0.8125,3.25
1499893758088704,3.9375,2.625,3.125
1499893758111717,4.5625,4.375,4.375
1499893758140753,-6.75,3.75,5.5
1499893758156709,-12.625,5.5625,3.4375
1499893758179716,-10.6875,7.125,2.875
1499893758200775,-11.5,4.375,2.8125
1499893758216746,-12.625,4.75,0.875
1499893758239709,-6,3.375,1.375
1499893758261723,-5.3125,2.3125,0.5
1499893758282728,-7.125,1.625,-1.5
1499893758299714,-8.0625,-0.5625,-1.5625
1499893758321714,-5,-1.3125,-1.4375
1499893758336724,0,-1.5625,-0.8125
1499893758359715,-0.4375,-0.9375,-0.125
1499893758381718,0.4375,-0.9375,0.4375
1499893758395729,0.4375,-1.375,0.5625
1499893758419755,0.0625,-0.25,0.875
1499893758441761,-0.5,-0.625,0.125
1499893758455732,-0.3125,-0.1875,0.3125
1499893758479724,-0.375,1.3125,-0.375
1499893758501744,-1.8125,1.25,-0.8125
1499893758515741,-1.3125,1.5625,-0.3125
1499893758539736,-0.125,1.125,-0.5
1499893758561764,-1.6875,1.75,-0.375
1499893758575740,-1.875,1.4375,-0.75
1499893758599731,-0.75,1.4375,-0.125
1499893758621731,-0.0625,1.8125,0.0625
1499893758635743,-2.3125,0.625,0
1499893758649773,-1.75,-0.25,0.0625
1499893758672761,-0.0625,0,0.25
1499893758687754,1.5,-0.3125,0.0625
1499893758709769,1.3125,-0.5625,-0.4375
1499893758732767,-1.375,-1.125,-0.5
1499893758747755,-1.1875,-1.8125,-1
1499893758769752,0.4375,-1.25,-0.75
1499893758792755,2,-1.125,-0.625
1499893758806811,1.625,-0.875,-0.5625
1499893758829783,0.3125,-0.25,-0.6875
1499893758852768,-0.625,-0.5625,-0.4375
1499893758866795,-0.1875,-0.5,-0.375
1499893758889786,1.75,0,-0.1875
1499893758911786,0.8125,0.3125,-0.375
1499893758926764,1.25,0.6875,-0.5625
1499893758949790,1.0625,0.375,-0.1875
1499893758972173,-1.5,0.1875,-0.25
1499893758987154,1.3125,-0.125,-0.0625
1499893759010148,2.0625,-0.0625,-0.125
1499893759032169,1.375,0.0625,-0.3125
1499893759047169,1.5625,0.5625,0.3125
1499893759070149,0.375,0.5625,0.0625
1499893759092172,-0.5,-0.375,-0.125
1499893759107180,-1.3125,-0.8125,-0.25
1499893759130154,0.25,-0.0625,0.25
1499893759152180,1.3125,-0.125,0.125
1499893759167180,0.5625,-0.125,-0.25
1499893759190155,-1.25,-0.0625,-0.375
1499893759212180,-1.125,-0.375,0.125
1499893759227182,0,0.4375,-0.0625
1499893759250158,-0.4375,0.875,0
1499893759272145,-0.375,0.25,0.3125
1499893759288173,-1.3125,-0.125,0.4375
1499893759310163,-0.4375,-0.1875,0.5
1499893759332187,0.9375,0.5625,0.375
1499893759349151,0.125,0.875,0.1875
1499893759370168,-1.3125,0,-0.3125
1499893759392190,-0.8125,0.0625,0
1499893759409161,-0.6875,0,0.0625
1499893759430168,0.5,0.625,-0.0625
1499893759452198,-1.6875,0.0625,0.3125
1499893759469157,0.1875,-0.25,0.4375
1499893759490179,0.5,-0.25,0.625
1499893759512242,-0.4375,-0.125,0.3125
1499893759529159,-0.375,0.125,-0.0625
1499893759557204,-0.1875,0.375,0.1875
1499893759572203,-0.5,0.375,-0.125
1499893759589163,-1.375,0.6875,-0.1875
1499893759610184,-0.5625,0.375,-0.1875
1499893759632167,-0.5625,0.0625,0.0625
1499893759649167,0.75,0.5,-0.25
1499893759670185,0.875,0.5,-0.5
1499893759692212,-0.625,0.4375,-0.4375
1499893759710171,-0.5625,-0.3125,-0.8125
1499893759730169,-0.375,-0.6875,-0.5
1499893759752185,0.5,-0.75,-0.1875
1499893759770174,1.4375,-0.4375,-0.375
1499893759790195,0.0625,-0.375,-0.25
1499893759812219,-0.375,-0.6875,-0.5625
1499893759830176,-0.6875,-0.875,-0.4375
1499893759850188,0.625,-0.875,-0.5
1499893759872223,0.75,-0.3125,-0.375
1499893759890181,0.5,-0.1875,-0.4375
1499893759910183,-1,-0.4375,-0.25
1499893759932221,-0.9375,-0.4375,-0.3125
1499893759950193,0.125,-0.4375,-0.125
1499893759970207,1.1875,-0.0625,0.0625
1499893759992225,-0.125,0.5,0
1499893760010187,-0.4375,0.1875,0.125
1499893760030209,-0.625,-0.375,-0.0625
1499893760052233,-0.3125,-0.375,-0.4375
1499893760070190,-0.8125,-0.5,-0.375
1499893760090213,0.1875,-0.375,-0.0625
1499893760112232,0.9375,-0.1875,0.0625
1499893760130195,0.5,-0.625,-0.1875
1499893760150210,-0.8125,-0.4375,0.0625
1499893760172240,-0.4375,-0.5,-0.375
1499893760190209,0.6875,-0.1875,-0.1875
1499893760210224,0.125,-0.375,-0.125
1499893760232239,0.25,-0.1875,0.3125
1499893760250203,0.5625,-0.0625,0.3125
1499893760270230,0.4375,-0.3125,0.1875
1499893760292205,-0.25,0,0.1875
1499893760315207,0.125,0.1875,0.0625
1499893760331216,-0.1875,-0.0625,0.0625
1499893760352218,-0.0625,-0.125,-0.125
1499893760370208,-0.25,-0.25,0.125
1499893760391210,-0.4375,-0.625,0.125
1499893760412219,1.75,-0.0625,0.625
1499893760430211,1.25,0.3125,0.5
1499893760451229,-0.4375,-0.1875,0.1875
1499893760472222,-0.0625,-0.3125,0.1875
1499893760490229,0.25,-0.1875,-0.0625
1499893760511227,0.625,0.25,0.125
1499893760532259,-0.75,0.25,0.0625
1499893760550219,-0.4375,0.25,0
1499893760571231,0.4375,0.5625,0.125
1499893760592261,-0.125,0.25,-0.125
1499893760610223,-1.3125,0.0625,0
1499893760632223,-0.1875,0.1875,0.0625
1499893760652268,0.625,-0.0625,0.25
