timestamp,roll,pitch,yaw
1499877186995975,-0.883687,-0.497119,-0.428629
1499877187017976,-0.883634,-0.496914,-0.429866
1499877187034978,-0.883574,-0.496355,-0.430716
1499877187055980,-0.884151,-0.495733,-0.431013
1499877187079985,-0.885134,-0.4952,-0.430995
1499877187085994,-0.882539,-0.494483,-0.43127
1499877187100996,-0.876612,-0.49417,-0.432538
1499877187125019,-0.871746,-0.493077,-0.434636
1499877187170994,-0.867628,-0.491265,-0.438927
1499877187172997,-0.861727,-0.489173,-0.448017
1499877187185007,-0.85845,-0.487413,-0.460735
1499877187207005,-0.864658,-0.484235,-0.471068
1499877187223000,-0.873503,-0.478888,-0.47828
1499877187252012,-0.869751,-0.47292,-0.488453
1499877187306014,-0.865726,-0.46698,-0.499191
1499877187307003,-0.872568,-0.461419,-0.509364
1499877187308996,-0.894705,-0.459417,-0.506778
1499877187327010,-0.912214,-0.458222,-0.498978
1499877187341045,-0.909311,-0.456723,-0.49758
1499877187364005,-0.895044,-0.460625,-0.507234
1499877187386043,-0.898329,-0.46538,-0.516378
1499877187401009,-0.905736,-0.468834,-0.519843
1499877187424025,-0.903818,-0.469406,-0.520434
1499877187446054,-0.901885,-0.469677,-0.520932
1499877187461017,-0.907351,-0.470309,-0.52099
1499877187484031,-0.91209,-0.470353,-0.521172
1499877187506046,-0.912857,-0.470433,-0.52208
1499877187521052,-0.910998,-0.470498,-0.523733
1499877187544031,-0.911021,-0.470066,-0.524231
1499877187566075,-0.910175,-0.469625,-0.524535
1499877187581078,-0.908833,-0.467743,-0.524293
1499877187604030,-0.909314,-0.465984,-0.523821
1499877187626056,-0.911367,-0.464708,-0.523433
1499877187641058,-0.911025,-0.463873,-0.524693
1499877187664041,-0.908144,-0.463689,-0.526889
1499877187686086,-0.90697,-0.463419,-0.52881
1499877187701062,-0.907753,-0.462743,-0.529636
1499877187724026,-0.90692,-0.461683,-0.530296
1499877187746094,-0.905066,-0.461366,-0.531543
1499877187762046,-0.904632,-0.460764,-0.532292
1499877187784022,-0.905713,-0.460263,-0.532692
1499877187807034,-0.907398,-0.459353,-0.532155
1499877187822030,-0.908095,-0.458286,-0.531515
1499877187843067,-0.907299,-0.457936,-0.531159
1499877187866033,-0.907071,-0.457569,-0.530875
1499877187882046,-0.908423,-0.456978,-0.530414
1499877187904047,-0.908432,-0.456867,-0.530457
1499877187926102,-0.908478,-0.456815,-0.530354
1499877187942043,-0.908573,-0.45674,-0.530636
1499877187964052,-0.909459,-0.456533,-0.529926
1499877187986046,-0.909897,-0.455982,-0.52937
1499877188002035,-0.909897,-0.455982,-0.52937
1499877188024054,-0.909897,-0.455982,-0.52937
1499877188046105,-0.909745,-0.455763,-0.529282
1499877188062056,-0.909914,-0.456309,-0.529949
1499877188083080,-0.910265,-0.456773,-0.530325
1499877188106114,-0.909122,-0.456946,-0.530622
1499877188122063,-0.905697,-0.457257,-0.533087
1499877188144052,-0.901703,-0.458126,-0.535982
1499877188166047,-0.901351,-0.458663,-0.536966
1499877188184046,-0.902556,-0.458266,-0.536462
1499877188204075,-0.90168,-0.457407,-0.535673
1499877188226090,-0.899127,-0.456826,-0.535618
1499877188244051,-0.897167,-0.456443,-0.536259
1499877188264087,-0.897869,-0.456313,-0.536833
1499877188287063,-0.899412,-0.455983,-0.536981
1499877188304052,-0.899587,-0.455965,-0.53683
1499877188326064,-0.899118,-0.455407,-0.536358
1499877188347059,-0.897914,-0.454787,-0.536332
1499877188364055,-0.897746,-0.454742,-0.536342
1499877188386058,-0.89899,-0.454384,-0.536365
1499877188407058,-0.899695,-0.453756,-0.53626
1499877188424069,-0.89986,-0.453316,-0.535895
1499877188446066,-0.899631,-0.452999,-0.535426
1499877188467061,-0.900269,-0.453102,-0.535208
1499877188484085,-0.901395,-0.453623,-0.534855
1499877188506065,-0.903501,-0.453864,-0.534072
1499877188527066,-0.905227,-0.453991,-0.533109
1499877188544070,-0.90571,-0.453971,-0.532435
1499877188572069,-0.905759,-0.453871,-0.532516
1499877188587069,-0.906192,-0.453918,-0.53227
1499877188604069,-0.907042,-0.453604,-0.531891
1499877188626071,-0.90743,-0.453121,-0.531762
1499877188649104,-0.907993,-0.452619,-0.531484
1499877188668107,-0.907993,-0.452619,-0.531484
1499877188686079,-0.908271,-0.451881,-0.53149
1499877188709116,-0.908271,-0.451881,-0.53149
1499877188728118,-0.908025,-0.4512,-0.531946
1499877188746079,-0.90804,-0.450505,-0.532999
1499877188769123,-0.907769,-0.449621,-0.534152
1499877188788126,-0.906565,-0.449013,-0.535443
1499877188806086,-0.905201,-0.448296,-0.536602
1499877188829130,-0.905519,-0.448118,-0.537139
1499877188848095,-0.906389,-0.447585,-0.536849
1499877188866097,-0.905862,-0.447189,-0.536437
1499877188896084,-0.904543,-0.446908,-0.53685
1499877188908157,-0.903475,-0.446757,-0.537309
1499877188926117,-0.903475,-0.446757,-0.537309
1499877188948103,-0.903475,-0.446757,-0.537309
1499877188969134,-0.90311,-0.446468,-0.537029
1499877188986090,-0.90215,-0.446074,-0.536678
1499877189008094,-0.901302,-0.445887,-0.536378
1499877189029162,-0.90092,-0.445773,-0.536195
1499877189045171,-0.900135,-0.445361,-0.535695
1499877189068118,-0.898304,-0.445033,-0.535606
1499877189089145,-0.897365,-0.444468,-0.535158
1499877189105136,-0.897497,-0.443956,-0.534616
1499877189128098,-0.897449,-0.443524,-0.534365
1499877189149151,-0.897616,-0.443568,-0.534356
1499877189166100,-0.896739,-0.443275,-0.534384
1499877189188101,-0.896778,-0.443286,-0.534422
1499877189209147,-0.896778,-0.443286,-0.534422
1499877189226109,-0.896778,-0.443286,-0.534422
1499877189248105,-0.896778,-0.443286,-0.534422
1499877189269156,-0.896294,-0.442905,-0.534049
1499877189285109,-0.89598,-0.442555,-0.533343
1499877189308109,-0.89523,-0.441814,-0.532971
1499877189329173,-0.894778,-0.441101,-0.532725
1499877189345131,-0.894918,-0.440492,-0.53255
1499877189368112,-0.895171,-0.440075,-0.532104
1499877189389161,-0.895897,-0.439655,-0.531313
1499877189405136,-0.895586,-0.439258,-0.530791
1499877189428116,-0.895351,-0.439006,-0.530465
1499877189449181,-0.895185,-0.438963,-0.530474
1499877189465137,-0.895224,-0.438973,-0.530512
1499877189488119,-0.895794,-0.438399,-0.529774
1499877189509121,-0.896443,-0.437832,-0.52879
1499877189525123,-0.896112,-0.437657,-0.528183
1499877189548123,-0.895331,-0.437253,-0.527684
1499877189569125,-0.894782,-0.437149,-0.527328
1499877189585136,-0.894903,-0.43675,-0.526748
1499877189608126,-0.89519,-0.436394,-0.526159
1499877189630130,-0.894531,-0.436086,-0.525754
1499877189645136,-0.89382,-0.43589,-0.52559
1499877189675137,-0.893252,-0.435973,-0.525652
1499877189690145,-0.893741,-0.435795,-0.525212
1499877189705138,-0.8938,-0.43562,-0.524832
1499877189728133,-0.89359,-0.435542,-0.524319
1499877189750169,-0.893776,-0.4354,-0.523892
1499877189765182,-0.894703,-0.435119,-0.523758
1499877189788142,-0.896155,-0.434682,-0.523544
1499877189810150,-0.896155,-0.434682,-0.523544
1499877189825181,-0.895803,-0.434289,-0.523308
1499877189848141,-0.895861,-0.434114,-0.522928
1499877189870143,-0.897537,-0.434074,-0.522494
1499877189885143,-0.897703,-0.434117,-0.522485
1499877189908144,-0.896747,-0.434277,-0.522623
1499877189930157,-0.895775,-0.43461,-0.522858
1499877189945146,-0.895775,-0.43461,-0.522858
1499877189968153,-0.896047,-0.434464,-0.523173
1499877189990148,-0.896086,-0.434475,-0.52321
1499877190005176,-0.896096,-0.434364,-0.523253
1499877190028150,-0.896096,-0.434364,-0.523253
1499877190050164,-0.896102,-0.434302,-0.523114
1499877190065181,-0.896102,-0.434302,-0.523114
1499877190088153,-0.895759,-0.434303,-0.523913
1499877190110166,-0.895611,-0.43405,-0.524329
1499877190131198,-0.895611,-0.43405,-0.524329
1499877190148157,-0.895621,-0.433939,-0.524372
1499877190170172,-0.895621,-0.433939,-0.524372
1499877190191223,-0.895621,-0.433939,-0.524372
1499877190208168,-0.895517,-0.433672,-0.524183
1499877190230169,-0.896431,-0.433022,-0.523658
1499877190251209,-0.897699,-0.432752,-0.523048
1499877190268164,-0.897699,-0.432752,-0.523048
1499877190290177,-0.897699,-0.432752,-0.523048
1499877190311218,-0.897699,-0.432752,-0.523048
1499877190328174,-0.898185,-0.432586,-0.522932
1499877190350179,-0.898196,-0.432475,-0.522975
1499877190371236,-0.898196,-0.432475,-0.522975
1499877190388171,-0.898361,-0.432517,-0.522966
1499877190410183,-0.897971,-0.432114,-0.522694
1499877190431241,-0.897981,-0.432003,-0.522737
1499877190448175,-0.89802,-0.432013,-0.522774
1499877190470186,-0.89802,-0.432013,-0.522774
1499877190491178,-0.89803,-0.431902,-0.522817
1499877190508178,-0.89803,-0.431902,-0.522817
1499877190530190,-0.897326,-0.431646,-0.522513
1499877190553225,-0.897315,-0.431757,-0.52247
1499877190568188,-0.898115,-0.431443,-0.522385
1499877190590188,-0.899618,-0.431423,-0.522102
1499877190613184,-0.901069,-0.431022,-0.521392
1499877190628187,-0.901235,-0.431065,-0.521383
1499877190650192,-0.901118,-0.430921,-0.521472
1499877190673188,-0.90134,-0.431332,-0.521571
1499877190687188,-0.901845,-0.431928,-0.521571
1499877190710202,-0.901903,-0.432283,-0.521358
1499877190733191,-0.901494,-0.433,-0.521714
1499877190747198,-0.901919,-0.433058,-0.521795
1499877190770207,-0.902051,-0.433042,-0.521931
1499877190793194,-0.901395,-0.433178,-0.522377
1499877190807195,-0.900861,-0.433409,-0.522916
1499877190831204,-0.901362,-0.433083,-0.523025
1499877190853204,-0.902166,-0.432757,-0.52262
1499877190867206,-0.902176,-0.432646,-0.522664
1499877190890215,-0.901691,-0.432269,-0.522293
1499877190913204,-0.900447,-0.431761,-0.522179
1499877190927202,-0.900681,-0.431517,-0.521834
1499877190950219,-0.902616,-0.430963,-0.52133
1499877190973228,-0.903481,-0.430412,-0.52073
1499877190987205,-0.903747,-0.429822,-0.520197
1499877191010223,-0.903793,-0.429227,-0.519611
1499877191033209,-0.903867,-0.428878,-0.519138
1499877191054278,-0.904742,-0.42862,-0.518629
1499877191070224,-0.904994,-0.42819,-0.517872
1499877191093212,-0.905399,-0.427926,-0.517383
1499877191114255,-0.905649,-0.427508,-0.516946
1499877191130229,-0.905483,-0.427466,-0.516955
1499877191153216,-0.905483,-0.427466,-0.516955
1499877191174264,-0.905483,-0.427466,-0.516955
1499877191190239,-0.905476,-0.427528,-0.517093
1499877191213244,-0.905476,-0.427528,-0.517093
1499877191234285,-0.905254,-0.428102,-0.51702
1499877191250236,-0.904814,-0.428748,-0.517196
1499877191273222,-0.904362,-0.429517,-0.517649
1499877191294294,-0.90453,-0.43009,-0.517804
1499877191310240,-0.904566,-0.430679,-0.517823
1499877191333228,-0.904472,-0.43125,-0.518209
1499877191354272,-0.904161,-0.431892,-0.518843
1499877191370247,-0.903742,-0.43228,-0.519611
1499877191393239,-0.903494,-0.432243,-0.520188
1499877191414273,-0.90347,-0.432038,-0.520879
1499877191430236,-0.90341,-0.432227,-0.521579
1499877191453269,-0.903417,-0.432165,-0.52144
1499877191475247,-0.903417,-0.432165,-0.52144
1499877191490254,-0.903593,-0.432096,-0.521475
1499877191513240,-0.903593,-0.432096,-0.521475
1499877191535259,-0.90361,-0.431923,-0.52138
1499877191550260,-0.90362,-0.431812,-0.521424
1499877191573241,-0.90362,-0.431812,-0.521424
1499877191595256,-0.90362,-0.431812,-0.521424
1499877191624319,-0.90362,-0.431812,-0.521424
1499877191633245,-0.903965,-0.431333,-0.521587
1499877191655263,-0.904977,-0.431011,-0.521395
1499877191670247,-0.905781,-0.430684,-0.520993
1499877191693248,-0.906491,-0.430384,-0.520492
1499877191715259,-0.906361,-0.430387,-0.520035
