timestamp,x,y,z
1499894965094264,0.125,0.5625,0.6875
1499894965117268,1.0625,0.5,0.5625
1499894965139268,1.5,0.75,0.125
1499894965154269,2.4375,0.5625,-0.1875
1499894965177270,4,1.375,0
1499894965208285,2.4375,0.8125,1.875
1499894965214286,-2.0625,0.9375,4
1499894965237274,-0.875,1.5625,4.6875
1499894965259288,-8.875,1.5625,4.875
1499894965274305,-5.5625,0.0625,6.4375
1499894965296291,0.3125,-1.5625,8.3125
1499894965319278,5.875,-1.875,8.9375
1499894965334288,8,-1.125,8.3125
1499894965357293,10.6875,-1.625,10.125
1499894965379283,6.0625,-2.25,6.875
1499894965394288,-4.1875,-4.625,2.9375
1499894965417294,2,-4,2.9375
1499894965439284,5.6875,-1.75,0.9375
1499894965454286,0.125,-1.75,-1.1875
1499894965477290,-0.1875,-1.25,-2.8125
1499894965499302,0.625,-0.75,-2.75
1499894965514290,-1.0625,-1.1875,-1.8125
1499894965536290,1.375,0.25,-0.125
1499894965568297,1.9375,-0.25,0.9375
1499894965575294,1.5,0.0625,1
1499894965597293,1.875,0.125,0
1499894965619296,1.1875,-0.5,0.5
1499894965636296,-2.5625,-1.4375,-0.6875
1499894965657298,-0.8125,-1.625,-0.625
1499894965679298,2.8125,-1.375,-0.8125
1499894965695301,0.875,-1.9375,-1
1499894965717309,1.6875,-1.4375,-1.5
1499894965739310,-0.6875,-0.875,-1.375
1499894965755304,-1.5,-0.5,-1.375
1499894965778304,-2.3125,-0.5625,-0.6875
1499894965799319,-1.875,-0.75,-0.125
1499894965815309,0.125,-0.125,-0.6875
1499894965836312,0.6875,-0.375,-0.4375
1499894965867323,-1.5625,-0.3125,-0.3125
1499894965875310,-1.75,-0.125,-0.875
1499894965897313,-0.8125,0.3125,-0.5625
1499894965919317,-1,0.3125,-1.5
1499894965935317,-1.9375,-0.125,-1.125
1499894965957318,0.4375,-0.375,-0.4375
1499894965979318,1.5625,0.0625,0.125
1499894965997317,0.25,0.4375,-1.125
1499894966017333,-1.75,0.375,-1.0625
1499894966039319,-1.375,-0.25,-0.875
1499894966057320,-1.125,0.5,-1.25
1499894966076366,-0.5,0.875,-1.1875
1499894966099361,-0.25,1,-1.0625
1499894966117332,-0.8125,0.25,-1.375
1499894966136327,-1.625,0.3125,-1.6875
1499894966159363,-2.0625,-0.4375,-1.5625
1499894966177330,0.25,-0.3125,-0.6875
1499894966197335,1.375,0.0625,0.3125
1499894966219351,0.6875,0.6875,-0.0625
1499894966237330,-1.9375,0.1875,-0.25
1499894966257342,-0.25,0.5,0.75
1499894966279335,0.9375,1,0.6875
1499894966297351,-0.875,0.25,0.3125
1499894966316368,-1.0625,0.75,0.1875
1499894966339337,-0.375,0.6875,-0.1875
1499894966357343,-0.5,0.25,-0.1875
1499894966376342,-0.1875,-0.1875,0.25
1499894966401348,0.5625,0.375,0.25
1499894966417342,0.1875,0.9375,0
1499894966436345,-0.9375,0.8125,0.4375
1499894966459343,-1.1875,0.875,0.75
1499894966477364,-0.9375,0.4375,0.5625
1499894966496416,0.4375,0.3125,0.5
1499894966519348,1.375,0.75,0.375
1499894966537350,0,1,-0.4375
1499894966556359,-1.75,0.5,-0.125
1499894966579350,-1.25,0.1875,0.125
1499894966597351,0.0625,-0.125,0.0625
1499894966618353,1.3125,0.125,-0.25
1499894966639354,1.0625,0.0625,-0.4375
1499894966658360,-1.0625,0,-0.5
1499894966678359,-1.3125,-0.4375,-0.375
1499894966699404,-0.1875,0.0625,-0.0625
1499894966717373,0.4375,0.4375,0.0625
1499894966738380,0.25,-0.0625,-0.1875
1499894966759401,-0.3125,-0.125,-0.375
1499894966777379,-0.625,0.1875,-0.3125
1499894966798364,-0.25,0.4375,-0.125
1499894966819365,0.3125,0.0625,0.125
1499894966844369,-0.1875,-0.5,0
1499894966858367,0,-0.5625,-0.125
1499894966879367,0.375,0.125,-0.125
1499894966904371,0.6875,0.75,0
1499894966919370,-0.5625,0.625,0
1499894966946443,-1.1875,0,0.125
1499894966957405,-0.6875,-0.125,0.1875
1499894966979373,1.125,0.125,0.25
1499894966999415,0.4375,0.5,-0.0625
1499894967017384,-0.5,0.3125,-0.4375
1499894967039378,-1.375,0.125,0
1499894967059419,-0.8125,0,0.0625
1499894967077402,-0.0625,-0.4375,0.4375
1499894967099401,0.375,0.125,0.1875
1499894967119403,0.25,0.75,0.1875
1499894967137385,-0.25,0.3125,0.3125
1499894967159384,-0.8125,0.25,0.375
1499894967179385,-0.125,-0.0625,0.375
1499894967197420,0.0625,-0.6875,0
1499894967219388,0.25,-0.25,0
1499894967239395,-0.5,0.0625,-0.375
1499894967257425,-1.125,-0.25,-0.25
1499894967279392,-1.1875,-0.0625,0.25
1499894967299432,-0.25,0.125,0.8125
1499894967317417,-0.0625,0.1875,0.4375
1499894967339395,-0.125,0.5,0.125
1499894967359440,-0.25,0.5,-0.0625
1499894967377396,-1.1875,-0.125,-0.0625
1499894967399400,-0.625,0.3125,-0.0625
1499894967419403,-0.6875,0.375,-0.0625
1499894967437399,0.0625,0.5,0.0625
1499894967459408,0.3125,0.75,0.0625
1499894967479418,-0.0625,0.375,-0.125
1499894967497421,-0.375,0.3125,-0.125
1499894967519405,0.375,0.375,-0.125
1499894967540405,0.0625,0,-0.25
1499894967557412,-0.0625,-0.0625,-0.25
1499894967579408,0.125,0,-0.4375
1499894967600415,-0.5,-0.4375,-0.4375
1499894967617411,0.1875,-0.8125,0.0625
1499894967639411,0,-0.5625,-0.0625
1499894967660475,0.125,0,-0.0625
1499894967677431,0.375,0.3125,-0.5625
1499894967699414,-0.0625,0.25,0
1499894967720416,-1.0625,0.1875,0.0625
1499894967737417,-0.5625,0,0.25
1499894967759419,1.125,0.3125,0.0625
1499894967780426,1.4375,0.875,-0.375
1499894967797429,0.125,0.875,-0.5625
1499894967819426,-1.4375,0.3125,-0.25
1499894967841440,-0.8125,0.5,-0.25
1499894967857443,0.375,0.5625,-0.25
1499894967879425,0.375,-0.0625,-0.25
1499894967902448,-0.1875,-0.1875,-0.1875
1499894967921452,0.0625,-0.1875,0.1875
1499894967939429,0,0.0625,0
1499894967962462,-0.1875,-0.1875,0
1499894967981432,-0.375,-0.0625,-0.125
1499894967999437,-0.3125,0.25,-0.1875
1499894968022439,-0.125,-0.1875,0.125
1499894968041440,1.125,-0.0625,0.1875
1499894968064443,0.3125,0.375,0.0625
