timestamp,x,y,z
1499894975751883,1.875,-0.6875,-0.75
1499894975766883,1.3125,-1.5,2.625
1499894975782884,5.5,2,3.9375
1499894975803885,1.5625,0.1875,5.25
1499894975826885,-4.625,-2.5,4.25
1499894975842887,-0.4375,-2.875,1.375
1499894975863887,6,-0.5625,2.1875
1499894975886890,7.75,0.6875,0.9375
1499894975902889,3.25,1.25,1.125
1499894975924906,-6.75,-1.625,3.1875
1499894975946895,-4.3125,-1.8125,2.8125
1499894975962894,-3.625,-0.9375,2.3125
1499894975983896,7.4375,-0.25,2
1499894976006896,9.25,0.3125,1.25
1499894976022906,-2.125,-0.9375,1.4375
1499894976044899,-5,-2.0625,0.75
1499894976069899,-4.75,-2.9375,1.25
1499894976082901,1.125,-1.75,1.125
1499894976103902,5.5,-0.1875,0.1875
1499894976126905,4.8125,-0.9375,0.8125
1499894976142904,-2.75,-2.625,0.8125
1499894976165907,-5.4375,-3.1875,0.3125
1499894976186909,1.375,-2.25,0.25
1499894976202907,5.75,-1.3125,-0.4375
1499894976223908,4,-0.3125,0.0625
1499894976246915,0.25,-0.6875,-0.25
1499894976262910,-4.3125,-1.375,0.875
1499894976284911,-1.1875,-1,1.0625
1499894976306914,1.4375,-0.75,-0.4375
1499894976324915,2,-0.875,-0.8125
1499894976343917,2.1875,0.4375,-0.75
1499894976366918,-2.125,0.1875,-0.6875
1499894976384932,-3.8125,-0.3125,0.125
1499894976403920,-0.75,-0.3125,0.3125
1499894976426919,-0.3125,-0.875,-0.8125
1499894976444923,1.1875,0,-0.4375
1499894976463924,0.5,0.75,-0.625
1499894976486925,-3.125,0.75,-0.875
1499894976504924,-2.6875,0.375,0.0625
1499894976524928,-1.5,-0.0625,-0.1875
1499894976546930,1,0.25,-0.1875
1499894976564929,1.5,0.875,-0.5625
1499894976583948,-1.625,0.6875,-0.3125
1499894976606932,-1.8125,-0.1875,0.25
1499894976628933,0.25,-0.25,0.5625
1499894976643932,1.4375,0.3125,0.125
1499894976666935,-0.5,0.3125,-0.25
1499894976688936,-0.9375,0.375,0.3125
1499894976703937,-0.6875,-0.3125,0.0625
1499894976726939,-0.8125,-0.5,0.4375
1499894976748940,-0.125,-0.125,0.25
1499894976771941,-0.3125,-0.125,0.375
1499894976786941,1.0625,0.875,0.3125
1499894976808957,-0.4375,0.875,0.125
1499894976823945,-1.875,0.5,0.375
1499894976853946,-1.9375,0.125,0.4375
1499894976868949,1.0625,0.5,0.5
1499894976884956,0.25,1.125,-0.0625
1499894976906953,-1.25,1.5,-0.1875
1499894976928956,-1.8125,1,0
1499894976943953,-1.25,0.75,0.3125
1499894976966968,0.4375,0.3125,0.3125
1499894976988953,0.4375,0,-0.375
1499894977005955,0.0625,0.1875,-1
1499894977026956,-0.4375,-0.4375,-0.1875
1499894977050962,-0.125,-0.3125,0.0625
1499894977065960,-0.5625,-0.375,0
1499894977086958,-0.25,-0.5,0.0625
1499894977108974,0.25,-0.25,-0.3125
1499894977125963,-0.5625,0.0625,0.1875
1499894977146979,-0.25,-0.1875,-0.1875
1499894977168968,0.75,0.25,-0.125
1499894977185964,0.1875,0.1875,-0.625
1499894977206966,-0.625,0.125,-0.4375
1499894977229027,-0.0625,-0.0625,-0.125
1499894977245970,0.8125,0.5625,0
1499894977266969,0.25,0.625,-0.375
1499894977288993,-0.5,0.4375,-0.3125
1499894977306977,-0.4375,-0.0625,0
1499894977326990,0.0625,0.3125,-0.125
1499894977349029,0.8125,0.6875,0.125
1499894977366975,0.0625,0.375,-0.0625
1499894977394016,-0.6875,0.1875,-0.0625
1499894977409017,-0.1875,0.5625,-0.4375
1499894977426977,0,0.3125,-0.375
1499894977446978,-0.125,0,0.0625
1499894977468983,-0.125,0,0.4375
1499894977495016,0.4375,0.375,0.4375
1499894977507026,0.125,0.5,0.4375
1499894977529048,-0.125,0.1875,0.375
1499894977546989,-0.875,-0.25,0
1499894977566987,0,-0.25,0
1499894977588989,0.6875,-0.4375,0.1875
1499894977606992,0.3125,0.125,0.125
1499894977627989,-0.0625,0.5625,0.1875
1499894977649032,-0.3125,0.3125,0.5
1499894977666993,-0.5,0.1875,0.625
1499894977686993,-0.625,0.625,0.625
1499894977709033,0,0.5625,0.6875
1499894977726995,0.125,0.625,0.25
1499894977747041,-1.3125,0.625,-0.1875
1499894977769016,-0.6875,0,0.25
1499894977786998,-0.25,0.25,0.125
1499894977807037,-0.125,0.4375,-0.0625
1499894977829005,0,0.625,-0.0625
1499894977847025,-0.4375,0.125,-0.25
1499894977868005,-0.9375,0.25,-0.25
1499894977889004,-0.125,0.0625,-0.1875
1499894977907012,0.4375,0,-0.125
1499894977927007,0.0625,-0.4375,-0.3125
1499894977949049,-0.125,-0.625,-0.25
1499894977975043,0.375,-0.125,-0.375
1499894977988013,-0.4375,0.125,-0.5
1499894978009057,0.1875,-0.25,-0.125
1499894978027012,0.125,-0.1875,-0.125
1499894978048013,-0.125,0.125,-0.4375
1499894978069020,0.25,0.125,-0.3125
1499894978087016,0.0625,0.3125,-0.4375
1499894978108038,0.1875,0.3125,-0.375
1499894978129059,-0.3125,0.125,-0.4375
1499894978147020,0,-0.0625,0.125
1499894978168023,0.25,0.125,0
