timestamp,x,y,z
1499893978376692,-2.75,-0.25,-0.1875
1499893978399695,1.3125,0,0
1499893978414694,3.5625,-0.0625,-0.875
1499893978436695,6.1875,2.1875,-0.5
1499893978459699,-5.875,1,1
1499893978480699,5.125,5.3125,1.75
1499893978496699,18.1875,1.375,2.3125
1499893978519701,1.625,-6.25,4.125
1499893978540702,-7.5,-1.4375,8.8125
1499893978556711,12.0625,2.875,8.625
1499893978579704,7.125,0,5.375
1499893978600705,-4.875,-0.25,3.9375
1499893978616706,-2.5625,0.5625,1.9375
1499893978640708,8.25,-0.0625,2.375
1499893978660709,12.125,-1.75,0.9375
1499893978676709,12,-2,-1.0625
1499893978699711,10.5625,-2.625,-2.1875
1499893978720710,6.6875,-1.875,-2
1499893978736713,4.3125,-0.6875,-1.9375
1499893978759715,5.375,-0.625,-2
1499893978780717,8.0625,-1.5,-1.625
1499893978796720,3.0625,-0.6875,-0.9375
1499893978819718,2.1875,-0.875,-0.8125
1499893978840720,1.6875,-1.25,1.1875
1499893978856720,1.0625,-1.3125,1.0625
1499893978879722,2.75,0.25,0.625
1499893978901722,3.25,2.5625,-1
1499893978916725,-7.6875,-0.125,-1.4375
1499893978939725,-6.5625,-1.5625,0.75
1499893978961727,1.8125,0.4375,0.4375
1499893978976726,3.9375,0,-1.8125
1499893978999730,-1.4375,1.1875,-2.9375
1499893979021730,-6.875,-0.3125,-2.75
1499893979036731,-4.25,-0.5,-0.5
1499893979059732,2.75,0.375,-0.75
1499893979081735,3,1.9375,-1.5625
1499893979096734,-3.6875,1.9375,-2.0625
1499893979119736,-7.75,1.125,-1.1875
1499893979141737,-3.875,0.8125,0.25
1499893979156737,2.3125,1,0.0625
1499893979179739,1.25,1.5,-1.5
1499893979201741,-2.9375,1.8125,-1.75
1499893979216740,-2.5625,0.3125,-1.375
1499893979239743,-1.6875,-0.9375,-0.1875
1499893979261744,2.9375,-0.75,-0.3125
1499893979276744,2.8125,-0.125,-0.625
1499893979299745,1.3125,1,-1.5
1499893979321747,-2.1875,0.6875,-1.0625
1499893979336747,-3.875,-0.75,0.25
1499893979359754,-0.8125,-0.375,0.4375
1499893979381750,4.625,0.375,-0.3125
1499893979402751,2.5625,1.375,-0.75
1499893979419752,-3.1875,0.4375,-0.75
1499893979441754,-3.0625,0.25,-0.125
1499893979462756,1.0625,0.125,-0.1875
1499893979479756,1.25,1.0625,-0.75
1499893979501757,-0.25,1.125,-1.125
1499893979522760,-1.5625,0.8125,-0.4375
1499893979539759,-1.5,-0.0625,0.125
1499893979561761,2,0.75,-0.3125
1499893979582764,1.1875,2.0625,-1.5625
1499893979599763,-1,1.25,-1.5625
1499893979621766,-1.875,0.5625,-0.75
1499893979642767,-2.0625,0,-0.125
1499893979659774,1.125,0.1875,-0.5625
1499893979681768,1.75,1.25,-0.875
1499893979702768,0.6875,1.25,-0.6875
1499893979719769,-0.0625,0.3125,0.125
1499893979741773,0.125,0.125,0.3125
1499893979762790,-0.5625,0.3125,0.25
1499893979779775,0.4375,1,-0.3125
1499893979801774,-0.0625,1,-0.6875
1499893979822778,-0.75,0.4375,-0.75
