timestamp,roll,pitch,yaw
1499894893344261,-1.36549,-0.0834725,2.01708
1499894893359262,-1.36549,-0.0834725,2.01708
1499894893383273,-1.36549,-0.0834725,2.01708
1499894893404267,-1.36513,-0.083474,2.01699
1499894893419265,-1.36515,-0.0834362,2.0171
1499894893442267,-1.36516,-0.0835037,2.01707
1499894893464269,-1.36596,-0.0843962,2.01662
1499894893479269,-1.3653,-0.085087,2.01588
1499894893502271,-1.36332,-0.0840307,2.01536
1499894893524274,-1.36176,-0.0822735,2.01495
1499894893545288,-1.36136,-0.0812348,2.01437
1499894893562274,-1.36216,-0.0811239,2.01398
1499894893584274,-1.36356,-0.0808506,2.0145
1499894893605278,-1.36418,-0.0800958,2.0146
1499894893622281,-1.36322,-0.0797724,2.0147
1499894893644296,-1.36201,-0.0794751,2.01521
1499894893665295,-1.36299,-0.0794827,2.01556
1499894893682281,-1.36291,-0.0795615,2.01559
1499894893704285,-1.36139,-0.0791888,2.01529
1499894893725285,-1.36057,-0.0786792,2.01526
1499894893743289,-1.36105,-0.0788071,2.01522
1499894893764302,-1.36028,-0.0789846,2.01511
1499894893785286,-1.35938,-0.0786208,2.01507
1499894893802292,-1.35933,-0.0783837,2.01509
1499894893824295,-1.36047,-0.0768858,2.01536
1499894893845311,-1.36525,-0.0757597,2.01675
1499894893868291,-1.37099,-0.0762696,2.01799
1499894893884293,-1.37132,-0.0765834,2.01809
1499894893906307,-1.36652,-0.0769866,2.01803
1499894893921312,-1.36216,-0.0773485,2.01838
1499894893944296,-1.36193,-0.0778246,2.01986
1499894893965338,-1.36273,-0.0785806,2.02155
1499894893982298,-1.36112,-0.0790576,2.02238
1499894894004304,-1.35682,-0.0791107,2.0218
1499894894027303,-1.35326,-0.0791522,2.02047
1499894894042321,-1.35358,-0.0789775,2.02008
1499894894065312,-1.3566,-0.0790549,2.01988
1499894894087304,-1.35773,-0.0785559,2.01893
1499894894102304,-1.35522,-0.0776491,2.01678
1499894894124306,-1.35392,-0.0768329,2.01491
1499894894147308,-1.35564,-0.0760705,2.01435
1499894894161308,-1.35831,-0.0750127,2.0144
1499894894184310,-1.35905,-0.0742157,2.01455
1499894894207315,-1.35884,-0.0733342,2.0146
1499894894221324,-1.35849,-0.0721897,2.01485
1499894894245315,-1.35826,-0.0714145,2.01522
1499894894267315,-1.35892,-0.0712506,2.01586
1499894894281317,-1.35968,-0.0714188,2.01653
1499894894304328,-1.35967,-0.0715238,2.01638
1499894894327333,-1.3596,-0.0715647,2.01652
1499894894342328,-1.3596,-0.0715647,2.01652
1499894894364334,-1.3596,-0.0715647,2.01652
1499894894387322,-1.35945,-0.0715116,2.01642
1499894894401322,-1.35954,-0.0714326,2.01639
1499894894424328,-1.36032,-0.0713217,2.01646
1499894894447326,-1.36146,-0.071276,2.0166
1499894894461325,-1.36112,-0.0709999,2.01638
1499894894484334,-1.36044,-0.0707539,2.01615
1499894894507333,-1.36073,-0.0707254,2.01595
1499894894528398,-1.36116,-0.0706832,2.0159
1499894894552355,-1.36158,-0.0707466,2.01616
1499894894567332,-1.36153,-0.0710632,2.01664
1499894894588353,-1.36092,-0.0715414,2.01688
1499894894604370,-1.36045,-0.0722447,2.01703
1499894894627335,-1.36034,-0.0727066,2.01704
1499894894648340,-1.36108,-0.0730842,2.0174
1499894894665344,-1.36108,-0.0730842,2.0174
1499894894687339,-1.36043,-0.0732197,2.01735
1499894894708387,-1.35965,-0.073331,2.01727
1499894894724341,-1.35965,-0.073331,2.01727
1499894894747342,-1.36005,-0.0734993,2.01738
1499894894768365,-1.3602,-0.0735524,2.01748
1499894894784344,-1.3602,-0.0735524,2.01748
1499894894807346,-1.35961,-0.073715,2.01772
1499894894828346,-1.3596,-0.0737531,2.0176
1499894894844352,-1.35961,-0.073715,2.01772
1499894894867349,-1.3596,-0.0737531,2.0176
1499894894888355,-1.35975,-0.0738061,2.0177
1499894894912356,-1.35975,-0.0738061,2.0177
1499894894927354,-1.35951,-0.073832,2.01762
1499894894949371,-1.35966,-0.0738851,2.01773
1499894894964375,-1.35966,-0.0738851,2.01773
1499894894987356,-1.35967,-0.0739521,2.0177
1499894895009377,-1.35967,-0.0739521,2.0177
1499894895024362,-1.35958,-0.0740311,2.01772
1499894895047364,-1.35958,-0.0740311,2.01772
1499894895070365,-1.35958,-0.0740311,2.01772
1499894895084381,-1.35958,-0.0740311,2.01772
1499894895107363,-1.35958,-0.0740311,2.01772
1499894895129383,-1.35958,-0.0740311,2.01772
1499894895144386,-1.35957,-0.0740691,2.0176
1499894895167368,-1.35957,-0.0740691,2.0176
1499894895189382,-1.35964,-0.0742681,2.0177
1499894895204370,-1.35964,-0.0742681,2.0177
1499894895227392,-1.35964,-0.0742681,2.0177
1499894895249372,-1.35964,-0.0742681,2.0177
1499894895264379,-1.35964,-0.0742681,2.0177
1499894895287394,-1.35964,-0.0742681,2.0177
1499894895309393,-1.35964,-0.0742681,2.0177
1499894895324376,-1.35977,-0.0743592,2.01769
1499894895347378,-1.35977,-0.0743592,2.01769
1499894895369378,-1.35977,-0.0743592,2.01769
1499894895384383,-1.35977,-0.0743592,2.01769
1499894895407380,-1.35977,-0.0743592,2.01769
1499894895429382,-1.35977,-0.0743592,2.01769
1499894895450386,-1.35969,-0.0744381,2.01772
1499894895467384,-1.35969,-0.0744381,2.01772
1499894895490394,-1.35969,-0.0744381,2.01772
1499894895510441,-1.3597,-0.0745051,2.01768
1499894895527407,-1.3597,-0.0745051,2.01768
1499894895549388,-1.3597,-0.0745051,2.01768
1499894895570413,-1.3597,-0.0745051,2.01768
1499894895587393,-1.35984,-0.0745582,2.01779
1499894895609411,-1.35961,-0.0745841,2.01771
1499894895630457,-1.35961,-0.0745841,2.01771
1499894895647415,-1.35961,-0.0745841,2.01771
1499894895669395,-1.36018,-0.0748044,2.01746
1499894895690439,-1.36082,-0.0747739,2.01736
1499894895707399,-1.36082,-0.0747069,2.01739
1499894895729410,-1.3599,-0.0747271,2.01733
1499894895750403,-1.3599,-0.0747271,2.01733
1499894895767401,-1.3605,-0.0751187,2.01756
1499894895789403,-1.36098,-0.075314,2.01795
1499894895810473,-1.36074,-0.0754078,2.01831
1499894895827408,-1.36015,-0.0755036,2.01858
1499894895849406,-1.35977,-0.0756116,2.0188
1499894895872414,-1.35963,-0.0756255,2.01866
1499894895887409,-1.36025,-0.0759788,2.01901
1499894895909409,-1.36025,-0.0759788,2.01901
1499894895932410,-1.36025,-0.0759788,2.01901
1499894895947414,-1.36017,-0.0760577,2.01904
1499894895969413,-1.36016,-0.0761627,2.01888
1499894895992435,-1.36031,-0.0762158,2.01899
1499894896006421,-1.36007,-0.0762416,2.01891
1499894896029416,-1.36007,-0.0762416,2.01891
1499894896052426,-1.36009,-0.0762038,2.01903
1499894896066420,-1.36009,-0.0762038,2.01903
1499894896089435,-1.36009,-0.0762038,2.01903
1499894896112441,-1.36007,-0.0762416,2.01891
1499894896126426,-1.36007,-0.0762416,2.01891
1499894896149423,-1.36009,-0.0762038,2.01903
1499894896172425,-1.36008,-0.0763087,2.01888
1499894896186426,-1.36023,-0.0763618,2.01898
1499894896209426,-1.36014,-0.0764408,2.01901
1499894896232433,-1.36014,-0.0764408,2.01901
