timestamp,roll,pitch,yaw
1499876458108329,-0.87936,-0.590023,-0.705766
1499876458132330,-0.884517,-0.587945,-0.701896
1499876458147332,-0.883318,-0.584616,-0.698697
1499876458169351,-0.878323,-0.582515,-0.697169
1499876458193337,-0.872219,-0.581217,-0.69676
1499876458207347,-0.869054,-0.578901,-0.696339
1499876458229395,-0.869167,-0.57634,-0.696497
1499876458284361,-0.869155,-0.57336,-0.697322
1499876458286370,-0.868346,-0.569852,-0.698152
1499876458291353,-0.866731,-0.567253,-0.69946
1499876458304340,-0.864751,-0.563111,-0.70062
1499876458328341,-0.858298,-0.559024,-0.703708
1499876458343349,-0.852608,-0.555365,-0.706718
1499876458387365,-0.850298,-0.551802,-0.707715
1499876458387365,-0.849706,-0.548869,-0.706965
1499876458401753,-0.8472,-0.545104,-0.705817
1499876458424783,-0.84216,-0.541932,-0.704342
1499876458446798,-0.836109,-0.539854,-0.702582
1499876458469797,-0.834668,-0.538617,-0.700409
1499876458485774,-0.835096,-0.538359,-0.698413
1499876458508757,-0.834649,-0.538532,-0.696719
1499876458529804,-0.8301,-0.538593,-0.696019
1499876458545771,-0.824859,-0.539179,-0.697197
1499876458568797,-0.825825,-0.540691,-0.697641
1499876458589826,-0.830615,-0.541838,-0.696678
1499876458605769,-0.830285,-0.543067,-0.696906
1499876458629783,-0.827773,-0.545036,-0.698037
1499876458649769,-0.826885,-0.547231,-0.699546
1499876458666776,-0.829485,-0.54813,-0.699215
1499876458688805,-0.829116,-0.548739,-0.698244
1499876458709810,-0.827401,-0.549911,-0.698517
1499876458725774,-0.827045,-0.551303,-0.699594
1499876458748787,-0.828958,-0.55173,-0.699508
1499876458769817,-0.831787,-0.551514,-0.698462
1499876458785772,-0.830799,-0.551775,-0.698508
1499876458808779,-0.830636,-0.551669,-0.698711
1499876458830775,-0.829701,-0.551879,-0.699703
1499876458845796,-0.831667,-0.551421,-0.699772
1499876458868797,-0.831685,-0.551308,-0.699803
1499876458890779,-0.830341,-0.550971,-0.700094
1499876458905787,-0.829333,-0.550798,-0.701234
1499876458928818,-0.83026,-0.550925,-0.701967
1499876458950781,-0.832038,-0.550526,-0.702019
1499876458965788,-0.831647,-0.550154,-0.702202
1499876458988822,-0.830712,-0.549801,-0.702902
1499876459010798,-0.830884,-0.549587,-0.703454
1499876459025789,-0.831413,-0.549666,-0.703617
1499876459048825,-0.831585,-0.549724,-0.703606
1499876459070788,-0.830641,-0.549708,-0.703904
1499876459085796,-0.830469,-0.549649,-0.703915
1499876459108792,-0.831005,-0.549968,-0.704062
1499876459130791,-0.831651,-0.550445,-0.704122
1499876459145796,-0.831779,-0.550489,-0.704067
1499876459168833,-0.830627,-0.55064,-0.704314
1499876459190815,-0.830292,-0.551053,-0.705175
1499876459204797,-0.831138,-0.551138,-0.705657
1499876459228837,-0.832648,-0.551298,-0.705375
1499876459250799,-0.832718,-0.551406,-0.704725
1499876459265815,-0.831248,-0.551568,-0.705008
1499876459288840,-0.830105,-0.551381,-0.705658
1499876459310802,-0.831023,-0.551866,-0.706347
1499876459331850,-0.832913,-0.551917,-0.706104
1499876459348844,-0.832777,-0.551904,-0.705612
1499876459370806,-0.831712,-0.552067,-0.705595
1499876459393812,-0.831712,-0.552067,-0.705595
1499876459415810,-0.832259,-0.55205,-0.706144
1499876459429822,-0.833305,-0.552018,-0.706485
1499876459453852,-0.833324,-0.551905,-0.706515
1499876459475812,-0.833305,-0.552018,-0.706485
1499876459489835,-0.833305,-0.552018,-0.706485
1499876459513846,-0.832714,-0.551764,-0.706809
1499876459535815,-0.832764,-0.551749,-0.707212
1499876459549848,-0.833301,-0.55207,-0.707359
1499876459573850,-0.833138,-0.552797,-0.707292
1499876459595820,-0.832411,-0.553094,-0.707419
1499876459609840,-0.832411,-0.553094,-0.707419
1499876459633846,-0.833113,-0.55325,-0.707927
1499876459655822,-0.833399,-0.553453,-0.708543
1499876459669851,-0.833718,-0.554007,-0.708802
1499876459693828,-0.833182,-0.554248,-0.708949
1499876459715826,-0.832473,-0.554431,-0.709108
1499876459729832,-0.832473,-0.554431,-0.709108
1499876459753860,-0.832473,-0.554431,-0.709108
1499876459775830,-0.832491,-0.554318,-0.709138
1499876459796850,-0.832181,-0.554552,-0.708803
1499876459813853,-0.832162,-0.554665,-0.708772
